t,phase_or_event,x,y,z,vx,vy,vz,yaw_deg,det_x,det_y,det_area,det_range,fixes,fix_res,rej,unm,cross_ev,cross_lat,cross_dz,fix_cx_sum,fix_al_sum,throttle,roll,pitch,yaw,arm,att_hz,rtt_ms,timeouts,cam_fps,vbat,el_deg,vert_live,commit_why,alt_gated,alt_rejected,cam_rej
0.080,ev0,0.00,0.00,-0.45,0.00,0.00,0.00,93.0,0.044,0.700,0.1804,1.76,0,0.00,0,3,-1,0.000,0.000,0.000,0.000,1250,1500,1500,1500,1800,33,9.9,0,60,24.48,-5.01,0,width_clipped,0,0,0
0.182,ev0,0.00,0.00,-0.46,0.00,0.00,0.00,93.0,0.044,0.699,0.1810,1.76,0,0.00,0,5,-1,0.000,0.000,0.000,0.000,1250,1500,1500,1500,1800,33,11.9,0,60,24.23,-5.77,0,width_clipped,0,0,0
0.283,ev0,0.00,0.00,-0.47,0.00,0.00,0.00,93.0,-0.012,-0.674,0.0966,7.42,0,0.00,0,8,-1,0.000,0.000,0.000,0.000,1250,1500,1500,1500,1800,33,10.7,0,60,23.92,26.69,0,-,0,2,1
0.383,ev0,0.00,0.00,-0.47,0.00,0.00,0.00,93.0,-0.012,-0.664,0.0984,7.45,0,0.00,0,10,-1,0.000,0.000,0.000,0.000,1250,1500,1500,1500,1800,33,9.7,0,60,23.92,26.27,0,-,0,7,1
0.484,ev0,0.00,0.00,-0.47,0.00,0.00,0.00,93.0,-0.010,-0.635,0.0976,7.45,0,0.00,0,13,-1,0.000,0.000,0.000,0.000,1250,1500,1500,1500,1800,33,12.4,0,60,23.78,25.40,0,-,0,12,1
0.585,ev0,0.00,0.00,-0.40,0.00,0.00,0.00,93.0,-0.009,-0.585,0.0976,7.42,0,0.00,0,15,-1,0.000,0.000,0.000,0.000,1250,1500,1500,1500,1800,33,9.2,0,60,23.68,24.24,0,-,0,15,1
0.685,ev0,0.00,0.00,-0.29,0.00,0.00,0.00,93.0,-0.010,-0.529,0.0978,7.40,0,0.00,0,18,-1,0.000,0.000,0.000,0.000,1250,1500,1500,1500,1800,33,9.7,0,60,23.68,22.85,0,-,0,15,1
0.786,ev0,-0.00,0.00,-0.02,-0.00,0.01,0.00,93.0,-0.008,-0.461,0.0976,7.37,0,0.00,0,20,-1,0.000,0.000,0.000,0.000,1250,1500,1500,1500,1800,33,12.0,0,60,23.61,21.24,0,-,0,18,1
0.886,ev0,-0.00,0.00,0.48,-0.02,0.06,0.96,93.0,-0.008,-0.383,0.0983,7.37,0,0.00,0,23,-1,0.000,0.000,0.000,0.000,1152,1508,1520,1524,1800,33,10.5,0,60,23.56,19.38,0,-,0,18,1
0.987,ev0,-0.00,0.01,0.78,-0.03,0.10,1.34,93.0,-0.015,-0.318,0.0977,7.40,0,0.00,0,25,-1,0.000,0.000,0.000,0.000,1104,1515,1510,1524,1800,33,9.9,0,60,23.56,17.01,0,-,0,18,1
1.087,ev0,-0.01,0.03,1.09,-0.04,0.14,1.48,92.0,-0.033,-0.263,0.0982,7.35,0,0.00,0,28,-1,0.000,0.000,0.000,0.000,1087,1522,1494,1521,1800,33,11.9,0,60,23.75,15.37,0,-,0,18,1
1.187,ev0,-0.01,0.04,1.26,-0.05,0.17,0.79,91.0,-0.051,-0.192,0.0982,7.35,0,0.00,0,30,-1,0.000,0.000,0.000,0.000,1165,1516,1486,1517,1800,33,10.5,0,60,23.93,14.06,0,-,0,18,1
1.288,ev0,-0.02,0.06,1.35,-0.06,0.20,0.15,91.0,-0.063,-0.114,0.0989,7.30,0,0.00,0,33,-1,0.000,0.000,0.000,0.000,1216,1514,1482,1517,1800,33,10.0,0,60,23.93,12.98,0,-,0,18,1
1.388,ev0,-0.03,0.08,1.43,-0.07,0.22,-0.34,90.0,-0.070,-0.060,0.0998,7.28,0,0.00,0,35,-1,0.000,0.000,0.000,0.000,1255,1513,1480,1514,1800,33,12.2,0,60,23.92,12.25,0,-,0,18,1
1.489,ev0,-0.03,0.10,1.52,-0.05,0.23,0.04,90.0,-0.079,-0.021,0.1012,7.21,0,0.00,0,38,-1,0.000,0.000,0.000,0.000,1225,1513,1473,1514,1800,33,10.5,0,60,23.76,12.00,0,-,0,19,1
1.590,ev0,-0.03,0.13,1.77,-0.02,0.22,0.57,90.0,-0.084,0.019,0.1021,7.18,0,0.00,0,40,-1,0.000,0.000,0.000,0.000,1184,1513,1462,1515,1800,33,9.9,0,60,23.76,11.31,0,-,0,19,1
1.690,ev0,-0.03,0.15,2.01,0.01,0.20,1.16,90.0,-0.088,0.078,0.1034,7.21,0,0.00,0,43,-1,0.000,0.000,0.000,0.000,1129,1509,1446,1515,1800,33,12.5,0,60,23.71,10.58,0,-,0,19,1
1.790,ev0,-0.03,0.17,2.15,0.02,0.17,1.10,89.0,-0.099,0.150,0.1050,7.12,0,0.00,0,45,-1,0.000,0.000,0.000,0.000,1137,1507,1452,1511,1800,33,10.4,0,60,23.83,10.09,0,-,0,19,1
1.891,ev0,-0.03,0.18,2.21,0.02,0.14,0.75,89.0,-0.110,0.224,0.1066,7.07,0,0.00,0,48,-1,0.000,0.000,0.000,0.000,1169,1505,1465,1511,1800,33,9.5,0,60,23.83,9.09,0,-,0,19,1
1.991,ev0,-0.03,0.19,2.19,0.01,0.13,0.09,88.0,-0.119,0.235,0.1074,7.05,0,0.00,0,50,-1,0.000,0.000,0.000,0.000,1221,1505,1474,1508,1800,33,12.2,0,60,23.93,8.81,0,-,0,19,1
2.092,ev0,-0.03,0.21,2.18,0.01,0.11,-0.22,88.0,-0.126,0.201,0.1081,7.03,0,0.00,0,53,-1,0.000,0.000,0.000,0.000,1247,1503,1546,1508,1800,33,10.4,0,60,23.87,8.91,0,-,0,19,1
2.192,ev0,-0.03,0.22,2.17,0.01,0.12,-0.29,88.0,-0.130,0.076,0.1077,7.01,0,0.00,0,55,-1,0.000,0.000,0.000,0.000,1252,1503,1545,1508,1800,33,10.1,0,60,23.87,8.46,0,-,0,19,1
