t,phase_or_event,x,y,z,vx,vy,vz,yaw_deg,det_x,det_y,det_area,det_range,fixes,fix_res,rej,unm,cross_ev,cross_lat,cross_dz,fix_cx_sum,fix_al_sum,throttle,roll,pitch,yaw,arm,att_hz,rtt_ms,timeouts,cam_fps,vbat,el_deg,vert_live,commit_why,alt_gated,alt_rejected,cam_rej
0.080,ev0/lm0,0.89,-0.04,-0.23,0.01,0.00,0.00,90.0,-0.067,-0.249,0.0895,7.57,3,0.11,0,0,-1,0.000,0.000,-2.062,-0.913,1250,1500,1500,1500,1800,33,10.1,0,58,24.42,18.04,1,-,0,0,3
0.181,ev0/lm0,0.98,-0.08,-0.23,0.00,0.00,0.00,90.0,-0.067,-0.247,0.0896,7.57,5,0.07,0,0,-1,0.000,0.000,-2.277,-1.406,1250,1500,1500,1500,1800,33,11.4,0,58,24.42,17.29,1,-,0,0,3
0.281,ev0/lm0,0.96,-0.14,-0.30,-0.01,-0.00,0.00,90.0,-0.061,-0.294,0.0904,7.57,8,0.05,0,0,-1,0.000,0.000,-2.202,-1.955,1250,1500,1500,1500,1800,33,10.9,0,58,23.90,17.83,1,-,0,0,3
0.382,ev0/lm0,0.93,-0.16,-0.36,0.00,0.00,0.00,90.0,-0.057,-0.279,0.0907,7.60,10,0.02,0,0,-1,0.000,0.000,-2.138,-2.209,1250,1500,1500,1500,1800,33,10.3,0,58,23.77,17.26,1,-,0,1,3
0.482,ev0/lm0,0.90,-0.19,-0.39,-0.00,-0.00,0.00,90.0,-0.055,-0.247,0.0915,7.54,13,0.02,0,0,-1,0.000,0.000,-2.073,-2.434,1250,1500,1500,1500,1800,33,10.8,0,58,23.77,16.28,1,-,0,6,3
0.582,ev0/lm0,0.90,-0.20,-0.60,0.00,0.00,0.00,90.0,-0.058,-0.212,0.0925,7.45,15,0.01,0,0,-1,0.000,0.000,-2.068,-2.522,1250,1500,1500,1500,1800,33,10.6,0,58,23.66,15.33,1,-,0,7,3
0.683,ev0/lm0,0.92,-0.18,-0.75,-0.00,-0.00,0.00,90.0,-0.057,-0.157,0.0934,7.40,18,0.02,0,0,-1,0.000,0.000,-2.107,-2.323,1250,1500,1500,1500,1800,33,10.4,0,54,23.58,13.87,1,-,0,8,3
0.784,ev0/lm0,0.92,-0.17,-0.83,0.00,0.00,0.00,90.0,-0.058,-0.093,0.0950,7.37,20,0.01,0,0,-1,0.000,0.000,-2.103,-2.244,1250,1500,1500,1500,1800,33,11.1,0,54,23.58,12.30,1,-,0,13,3
0.884,ev0/lm0,0.92,-0.15,0.20,-0.01,0.04,0.97,90.0,-0.058,-0.021,0.0967,7.37,23,0.02,0,0,-1,0.000,0.000,-2.114,-2.035,1204,1344,1543,1488,1800,33,11.6,0,54,23.51,10.52,1,-,0,13,3
0.985,ev0/lm0,0.92,-0.12,0.75,-0.02,0.07,1.85,90.0,-0.058,0.068,0.0983,7.40,25,0.03,0,0,-1,0.000,0.000,-2.127,-1.812,1141,1251,1550,1488,1800,33,10.1,0,54,23.52,7.64,1,-,0,13,3
