t,phase_or_event,x,y,z,vx,vy,vz,yaw_deg,det_x,det_y,det_area,det_range,fixes,fix_res,rej,unm,cross_ev,cross_lat,cross_dz,fix_cx_sum,fix_al_sum,throttle,roll,pitch,yaw,arm,att_hz,rtt_ms,timeouts,cam_fps,vbat,el_deg,vert_live,commit_why,alt_gated,alt_rejected,cam_rej
0.081,ev0/lm0,1.04,0.03,-0.38,0.13,0.01,0.00,92.0,-0.065,-0.163,0.0896,7.54,2,0.87,0,1,-1,0.000,0.000,-2.419,-0.676,1250,1500,1500,1500,1800,33,10.2,0,60,24.61,18.72,1,-,0,1,6
0.181,ev0/lm0,1.16,-0.00,-0.40,0.00,0.00,0.00,92.0,-0.065,-0.200,0.0893,7.57,4,0.08,0,1,-1,0.000,0.000,-2.686,-1.165,1250,1500,1500,1500,1800,33,11.2,0,60,24.61,16.82,1,-,0,1,6
0.282,ev0/lm0,1.21,-0.07,-0.53,-0.00,-0.00,0.00,92.0,-0.057,-0.297,0.0903,7.54,7,0.04,0,1,-1,0.000,0.000,-2.791,-1.845,1250,1500,1500,1500,1800,33,11.0,0,60,24.11,18.29,1,-,0,4,6
0.382,ev0/lm0,1.16,-0.10,-0.94,0.00,0.00,0.00,93.0,-0.049,-0.299,0.0906,7.54,9,0.05,0,1,-1,0.000,0.000,-2.665,-2.140,1250,1500,1500,1500,1800,33,10.6,0,60,23.95,17.93,1,-,0,6,6
0.483,ev0/lm0,1.20,-0.13,-1.16,-0.00,-0.00,0.00,93.0,-0.040,-0.276,0.0914,7.52,12,0.03,0,1,-1,0.000,0.000,-2.742,-2.451,1250,1500,1500,1500,1800,33,11.3,0,60,23.95,17.10,1,-,0,11,6
0.584,ev0/lm0,1.14,-0.15,-1.14,0.00,0.00,0.00,93.0,-0.034,-0.253,0.0921,7.52,14,0.05,0,1,-1,0.000,0.000,-2.610,-2.586,1250,1500,1500,1500,1800,33,12.2,0,60,23.83,16.42,1,-,0,12,6
0.684,ev0/lm0,1.12,-0.17,-1.10,0.00,0.00,0.00,93.0,-0.033,-0.206,0.0931,7.49,17,0.00,0,1,-1,0.000,0.000,-2.547,-2.733,1250,1500,1500,1500,1800,33,10.1,0,60,23.75,15.37,1,-,0,14,6
0.785,ev0/lm0,1.12,-0.16,-0.78,0.00,0.00,0.00,93.0,-0.032,-0.169,0.0940,7.49,19,0.02,0,1,-1,0.000,0.000,-2.564,-2.658,1206,1500,1500,1500,1800,33,10.4,0,60,23.75,14.48,1,-,0,17,6
0.885,ev0/lm0,1.14,-0.13,0.40,-0.00,0.02,9.60,93.0,-0.034,-0.135,0.0951,7.37,22,0.02,0,1,-1,0.000,0.000,-2.607,-2.417,1229,1331,1546,1493,1800,33,11.7,0,60,23.75,13.52,1,-,0,18,6
0.986,ev0/lm0,1.13,-0.11,1.18,-0.01,0.06,6.22,93.0,-0.037,-0.097,0.0966,7.32,24,0.01,0,1,-1,0.000,0.000,-2.601,-2.274,1241,1344,1535,1493,1800,33,10.6,0,60,23.76,12.50,1,-,0,18,6
1.086,ev0,1.14,-0.09,1.53,-0.08,0.12,4.91,93.0,-0.022,-0.135,0.0970,6.88,25,0.02,0,3,-1,0.000,0.000,-2.616,-2.163,1250,1361,1523,1493,1800,33,11.1,0,60,23.76,10.97,1,-,0,18,6
1.187,ev0,1.12,-0.08,1.68,-0.25,0.18,4.32,93.0,-0.003,-0.163,0.0985,6.41,25,0.02,0,5,-1,0.000,0.000,-2.616,-2.163,1248,1385,1512,1493,1800,33,12.2,0,60,23.68,11.34,1,-,0,18,6
1.288,ev0,1.08,-0.05,1.72,-0.47,0.26,2.60,93.0,0.007,-0.126,0.0999,6.25,25,0.02,0,8,-1,0.000,0.000,-2.616,-2.163,1243,1417,1497,1494,1800,33,10.5,0,60,23.62,10.82,1,-,0,18,6
1.389,ev0,1.02,-0.02,1.72,-0.68,0.31,2.23,94.0,0.015,-0.068,0.1016,6.18,25,0.02,0,10,-1,0.000,0.000,-2.616,-2.163,1240,1453,1485,1499,1800,33,9.6,0,57,23.62,10.51,1,-,0,18,6
1.490,ev0,0.98,0.13,1.79,-0.83,0.31,2.01,94.0,0.026,0.008,0.1038,6.21,26,0.21,0,12,-1,0.000,0.000,-2.719,-1.019,1240,1478,1461,1500,1800,33,12.4,0,57,23.59,9.55,1,-,0,18,6
1.590,ev0/lm0,0.85,0.25,1.86,-0.95,0.30,1.82,94.0,0.037,0.110,0.1074,6.28,27,0.16,0,13,-1,0.000,0.000,-2.636,-0.138,1241,1512,1444,1504,1800,33,10.9,0,57,23.57,8.73,1,-,0,18,6
