t,s,gate,x,y,z,vx,vy,vz,z_target,vz_ff,ax_des,ay_des,cos_tilt,wx,wy,a_z_cmd,thrust_cmd,roll,pitch,throttle,yaw,m_mean,m_min,m_max
0.182,0.00,0,0.000,0.000,-0.462,0.000,0.000,0.000,-0.462,0.000,0.04,0.59,1.000,0.05,-0.02,0.00,0.00,1500,1500,1250,1500,
0.383,0.00,0,0.000,0.000,-0.468,0.000,0.000,0.000,-0.468,0.000,0.04,0.59,1.000,0.77,-0.98,0.00,0.00,1500,1500,1250,1500,
0.585,0.00,0,0.000,0.000,-0.401,0.000,0.000,0.000,-0.401,0.000,0.04,0.59,1.000,0.28,-0.05,0.00,0.00,1500,1500,1250,1500,
0.786,0.00,0,-0.000,0.000,-0.023,-0.004,0.014,0.000,-0.023,0.000,0.05,0.53,1.000,-0.14,-0.12,0.00,0.00,1500,1500,1250,1500,
0.987,0.00,0,-0.004,0.013,0.777,-0.030,0.100,1.344,0.777,0.000,0.17,0.14,1.000,0.80,-3.40,-5.38,4.44,1515,1510,1104,1524,
1.187,0.00,0,-0.012,0.041,1.264,-0.054,0.170,0.793,1.264,0.000,0.31,-0.25,1.000,1.45,0.17,-3.17,6.64,1516,1486,1165,1517,
1.388,0.00,0,-0.025,0.081,1.428,-0.067,0.223,-0.337,1.428,0.000,0.41,-0.63,0.999,-0.02,2.48,1.35,11.16,1513,1480,1255,1514,
1.590,0.00,0,-0.034,0.127,1.773,-0.023,0.220,0.568,1.773,0.000,0.27,-0.80,0.999,0.02,1.12,-2.27,7.54,1513,1462,1184,1515,
1.790,0.00,0,-0.033,0.166,2.150,0.019,0.166,1.097,2.150,0.000,0.09,-0.74,0.998,-0.14,2.60,-4.39,5.44,1507,1452,1137,1511,
1.991,0.00,0,-0.029,0.193,2.191,0.014,0.128,0.091,2.191,0.000,0.10,-0.69,0.997,-0.35,2.22,-0.36,9.48,1505,1474,1221,1508,
2.192,0.50,0,-0.027,0.217,2.170,0.006,0.122,-0.286,2.170,0.000,0.13,1.37,1.000,-0.26,-12.41,1.14,10.96,1503,1545,1252,1508,
2.394,0.50,0,-0.023,0.254,2.316,0.049,0.261,0.493,2.316,0.000,0.10,1.38,0.998,-0.05,-3.79,-1.97,7.85,1502,1562,1191,1508,
2.595,0.50,0,-0.010,0.331,2.348,0.067,0.492,0.577,2.348,0.000,0.09,1.38,0.995,-0.02,-3.77,-2.31,7.54,1501,1565,1185,1504,
2.796,0.75,0,0.004,0.453,2.288,0.064,0.678,0.066,2.288,0.000,-0.09,-1.04,0.999,-0.86,13.51,-0.26,9.56,1499,1461,1224,1504,
2.997,0.75,0,0.014,0.592,2.321,0.046,0.684,0.131,2.321,0.000,0.03,-1.07,0.999,0.58,5.18,-0.52,9.29,1503,1459,1218,1504,
3.198,1.00,0,0.023,0.722,2.454,0.045,0.607,0.542,2.454,0.000,0.04,-0.54,0.998,0.45,2.36,-2.17,7.65,1503,1475,1185,1504,
3.399,1.00,0,0.033,0.838,2.485,0.044,0.564,0.348,2.485,0.000,0.03,-0.37,0.999,-0.30,-0.80,-1.39,8.43,1502,1484,1200,1504,
3.600,1.25,0,0.038,0.949,2.428,0.000,0.543,-0.012,2.428,0.000,0.35,-0.08,0.999,0.30,-1.26,0.05,9.86,1513,1498,1229,1500,
3.801,1.25,0,0.039,1.056,2.466,0.027,0.516,0.259,2.466,0.000,0.18,0.02,1.000,1.03,-1.83,-1.04,8.78,1507,1501,1207,1500,
4.001,1.50,0,0.050,1.163,2.523,0.068,0.555,0.436,2.523,0.000,-0.10,0.06,1.000,-0.84,-0.23,-1.75,8.07,1495,1502,1193,1500,
4.202,1.50,0,0.063,1.279,2.539,0.070,0.592,0.198,2.539,0.000,-0.11,-0.08,1.000,-1.15,-0.05,-0.79,9.02,1496,1496,1212,1500,
4.403,1.75,0,0.078,1.401,2.571,0.083,0.616,0.143,2.571,0.000,0.98,-0.01,0.999,-0.37,0.56,-0.57,9.24,1538,1502,1217,1500,
4.604,1.75,0,0.104,1.526,2.680,0.175,0.629,0.388,2.680,0.000,0.62,-0.03,0.998,1.43,-0.09,-1.55,8.27,1527,1501,1197,1499,
4.805,2.00,0,0.152,1.653,2.714,0.290,0.637,0.314,2.714,0.000,0.17,0.50,0.998,-0.26,-0.03,-1.25,8.57,1506,1521,1203,1501,
5.006,2.25,0,0.217,1.785,2.725,0.337,0.683,0.117,2.725,0.000,-0.17,0.54,0.999,-2.60,-2.39,-0.47,9.35,1493,1520,1219,1499,
5.206,2.25,0,0.283,1.933,2.798,0.321,0.776,0.298,2.798,0.000,-0.32,0.46,0.999,-1.69,-0.47,-1.19,8.62,1486,1518,1204,1497,
5.407,2.49,0,0.344,2.098,2.895,0.284,0.856,0.417,2.895,0.000,-0.40,0.36,0.999,-1.48,-0.09,-1.67,8.15,1482,1515,1195,1495,
5.608,2.74,0,0.394,2.279,2.924,0.219,0.940,0.224,2.924,0.000,-0.36,0.24,0.999,-0.23,0.61,-0.90,8.92,1485,1509,1210,1493,
5.810,2.99,0,0.431,2.476,2.934,0.152,1.005,0.131,2.934,0.000,-0.28,0.13,1.000,0.10,0.68,-0.52,9.29,1489,1505,1217,1492,
6.011,3.24,0,0.503,2.791,3.012,0.063,1.044,0.355,2.970,0.000,-0.25,-0.59,1.000,0.28,0.72,-1.80,8.01,1490,1473,1193,1492,
6.212,3.49,0,0.353,3.199,3.085,-0.062,1.048,0.327,2.973,0.000,0.57,-0.70,1.000,5.76,3.61,-2.33,7.48,1528,1468,1183,1500,
6.412,3.74,0,0.303,3.424,3.054,-0.061,0.985,-0.147,2.872,0.000,0.73,-0.32,0.998,3.23,-0.30,-1.08,8.74,1530,1488,1207,1503,
6.613,3.99,0,0.280,3.562,3.009,-0.002,0.929,-0.317,2.755,0.000,0.63,0.02,0.998,1.45,-1.26,-1.06,8.77,1526,1502,1207,1504,
6.814,3.99,0,0.211,3.719,3.011,0.077,0.878,-0.174,2.716,0.000,0.61,0.19,0.999,0.66,-1.71,-2.04,7.78,1528,1510,1188,1509,
7.015,4.24,0,0.235,3.901,2.929,0.150,0.921,-0.397,2.705,0.000,0.32,0.15,0.999,-0.12,-0.70,-0.54,9.28,1512,1506,1217,1508,
7.216,4.24,0,0.164,4.103,2.848,0.184,0.921,-0.389,2.693,0.000,0.42,0.08,0.999,-1.47,-0.07,0.05,9.86,1515,1504,1229,1510,
7.417,4.49,0,0.207,4.289,2.879,0.234,0.925,0.099,2.879,0.000,0.15,0.20,1.000,-0.66,-0.19,-0.52,9.29,1505,1508,1217,1508,
7.618,4.74,0,0.263,4.470,2.926,0.309,0.900,0.521,2.926,0.000,-0.23,0.46,1.000,-1.29,-0.61,-2.21,7.60,1488,1521,1184,1505,
7.819,4.74,0,0.327,4.658,2.826,0.321,0.979,0.069,2.826,0.000,-0.47,0.14,0.999,-2.25,-1.33,-0.40,9.42,1482,1504,1220,1498,
8.020,4.99,0,0.387,4.864,2.773,0.266,1.053,-0.088,2.773,0.000,-0.49,-0.00,1.000,-0.47,1.13,0.23,10.04,1482,1499,1232,1494,
8.221,5.24,0,0.432,5.078,2.919,0.183,1.081,0.483,2.919,0.000,-0.38,0.03,1.000,0.19,0.80,-2.06,7.76,1482,1501,1187,1495,
8.422,5.49,0,0.460,5.300,2.994,0.114,1.110,0.471,2.994,0.000,-0.25,0.07,1.000,-0.24,-0.19,-2.01,7.80,1488,1503,1188,1491,
8.623,5.74,0,0.477,5.521,3.019,0.066,1.090,0.048,3.019,0.000,-0.15,0.35,1.000,0.91,-0.14,-0.31,9.50,1494,1513,1222,1492,
8.824,5.99,0,0.484,5.742,3.114,0.013,1.109,0.178,3.114,0.000,-0.01,0.53,1.000,0.68,-0.82,-0.84,8.97,1499,1521,1211,1496,
9.025,6.24,0,0.483,5.967,3.243,-0.016,1.137,0.479,3.243,0.000,0.09,0.74,1.000,0.94,-1.82,-2.04,7.77,1503,1534,1188,1496,
9.225,6.24,0,0.480,6.200,3.240,-0.012,1.180,0.209,3.240,0.000,0.08,0.58,0.999,0.14,-1.38,-0.96,8.86,1502,1524,1209,1496,
9.427,6.49,0,0.480,6.445,3.253,0.004,1.246,0.058,3.253,0.000,0.04,0.72,0.999,0.40,-1.22,-0.36,9.47,1500,1527,1221,1495,
9.628,6.74,0,0.482,6.703,3.414,0.029,1.315,0.456,3.414,0.000,-0.06,0.77,0.999,0.12,0.12,-1.95,7.87,1497,1535,1190,1498,
9.828,6.98,0,0.489,6.971,3.405,0.026,1.344,-0.495,3.405,0.000,-0.05,0.78,1.000,0.12,2.18,1.85,11.67,1498,1524,1265,1494,
10.029,7.23,0,0.492,7.243,3.044,0.019,1.368,-2.006,3.044,0.000,-0.04,0.77,1.000,-0.03,1.31,3.00,12.81,1498,1521,1287,1494,
10.230,7.48,0,0.495,7.521,2.603,0.003,1.387,-3.073,2.603,0.000,-0.01,0.70,1.000,2.34,-1.62,3.00,12.81,1499,1519,1287,1494,
10.431,7.73,0,0.496,7.792,2.204,0.014,1.309,-2.262,2.204,0.000,-0.03,0.98,1.000,-1.85,-0.31,3.00,12.81,1498,1527,1287,1494,
10.632,7.98,1,0.502,8.044,2.649,0.041,1.212,0.048,2.649,0.000,-0.25,1.35,1.000,-0.68,-0.40,-0.32,9.49,1489,1550,1223,1520,
10.833,8.23,1,0.512,8.282,2.506,0.053,1.173,0.024,2.506,0.000,-0.31,1.34,1.000,-0.05,0.24,-0.22,9.59,1486,1549,1225,1517,
11.034,8.48,1,0.521,8.520,1.524,0.041,1.196,-3.904,1.524,0.000,-0.26,1.35,1.000,-0.09,2.01,3.00,12.81,1489,1537,1288,1510,
11.235,8.73,1,0.534,8.761,1.017,0.090,1.184,-2.942,1.017,0.000,-0.49,1.29,1.000,-0.44,-0.02,3.00,12.81,1483,1534,1288,1507,
11.436,8.98,1,0.558,8.993,1.313,0.136,1.144,-0.352,1.313,0.000,-0.81,1.12,1.000,-1.82,-1.73,1.28,11.10,1470,1533,1255,1507,
11.637,9.23,1,0.587,9.219,1.295,0.164,0.965,-1.226,1.295,0.000,-1.30,0.47,1.000,5.52,-3.14,3.00,12.81,1463,1510,1288,1511,
11.838,9.23,1,0.626,9.327,0.427,0.200,0.408,-1.758,0.427,0.000,-0.21,1.36,1.000,1.15,1.50,3.00,12.81,1491,1537,1288,1510,
12.039,9.48,1,0.659,9.414,-2.558,0.106,0.456,-9.361,-2.558,0.000,-0.08,1.38,1.000,-1.03,0.30,3.00,12.81,1498,1538,1288,1527,
12.240,9.48,1,0.614,9.503,-1.621,-0.496,0.580,-0.656,-1.621,0.000,1.05,0.90,0.977,8.38,15.31,2.50,12.60,1530,1526,1278,1525,
12.441,9.48,1,0.511,9.633,-0.466,-0.513,0.677,3.792,-0.466,0.000,1.10,0.83,1.000,4.61,9.44,-15.29,0.00,1730,1653,1027,1500,
12.642,9.73,1,0.439,9.785,-0.167,-0.130,0.839,1.625,-0.167,0.000,1.02,0.92,0.985,-16.53,-2.79,-6.62,3.23,1606,1602,1073,1524,
12.843,9.98,1,0.423,9.937,-0.113,-0.062,0.691,1.280,-0.113,0.000,0.78,1.14,0.999,4.61,6.51,-5.24,4.57,1556,1589,1115,1525,
13.044,9.98,1,0.416,10.075,-0.112,-0.030,0.694,0.924,-0.112,0.000,0.53,1.27,1.000,-1.05,-1.85,-3.82,5.99,1528,1576,1155,1526,
13.245,10.23,1,0.410,10.216,-0.145,-0.011,0.691,0.658,-0.145,0.000,0.44,1.31,1.000,0.61,0.98,-2.76,7.05,1519,1566,1176,1527,
13.446,10.23,1,0.409,10.355,-0.178,-0.010,0.692,0.456,-0.178,0.000,0.44,1.31,0.999,0.07,0.07,-1.95,7.87,1517,1560,1192,1528,
13.647,10.48,1,0.407,10.494,-0.205,-0.013,0.693,0.316,-0.205,0.000,0.48,1.29,0.999,0.05,0.05,-1.39,8.43,1517,1555,1202,1529,
13.848,10.73,1,0.404,10.633,-0.224,-0.012,0.689,0.223,-0.224,0.000,0.50,1.28,0.999,0.00,-0.00,-1.02,8.80,1518,1553,1210,1530,
