t,s,gate,x,y,z,vx,vy,vz,z_target,vz_ff,ax_des,ay_des,cos_tilt,wx,wy,a_z_cmd,thrust_cmd,roll,pitch,throttle,yaw,m_mean,m_min,m_max
0.181,0.00,0,0.984,-0.079,-0.228,0.000,0.000,0.000,-0.157,0.000,-3.90,0.91,1.000,-3.04,-3.87,0.00,0.00,1500,1500,1250,1500,
0.382,0.00,0,0.930,-0.165,-0.359,0.000,0.000,0.000,-0.219,0.000,-3.68,1.25,1.000,0.66,-0.65,0.00,0.00,1500,1500,1250,1500,
0.582,0.00,0,0.902,-0.198,-0.604,0.000,0.000,0.000,-0.404,0.000,-3.57,1.38,1.000,0.17,-0.68,0.00,0.00,1500,1500,1250,1500,
0.784,0.00,0,0.915,-0.169,-0.833,0.000,0.000,0.000,-0.633,0.000,-3.62,1.26,1.000,0.00,0.21,0.00,0.00,1500,1500,1250,1500,
0.985,0.00,0,0.921,-0.117,0.751,-0.025,0.071,1.846,0.951,0.000,-3.55,0.77,1.000,0.09,-0.09,-5.57,4.24,1251,1550,1141,1488,
1.186,0.00,0,1.001,0.226,1.539,-0.316,0.221,2.197,1.683,0.000,-2.70,-1.20,0.934,-23.51,-3.80,-7.46,2.51,1194,1384,1083,1485,
1.387,0.00,0,0.922,0.920,1.878,-0.656,0.264,0.899,1.951,0.000,-1.02,-4.15,0.893,7.14,21.29,-2.90,7.74,1426,1315,1194,1507,
1.588,0.00,0,0.378,1.148,2.071,-1.011,0.013,0.135,2.073,0.000,2.57,-4.05,0.942,19.46,8.13,-0.47,9.92,1572,1345,1241,1535,
1.789,0.00,0,0.084,0.859,2.479,-1.045,-0.576,0.882,2.412,0.000,3.88,-0.54,0.961,18.83,1.66,-4.09,5.95,1709,1448,1171,1537,
1.990,0.00,0,-0.183,0.764,2.585,-0.685,-0.863,0.715,2.447,0.000,3.51,0.99,0.953,12.57,-15.46,-4.07,6.03,1701,1529,1168,1545,
2.192,0.00,0,-0.435,0.964,2.421,-0.280,-0.773,-0.191,2.213,0.000,2.90,-0.17,0.945,1.12,-5.45,-1.10,9.22,1613,1480,1215,1553,
2.393,0.00,0,-0.290,0.975,2.391,0.250,-0.650,-0.259,2.112,0.000,0.20,-0.71,0.970,-6.96,2.13,-1.48,8.58,1506,1469,1199,1538,
2.594,0.00,0,-0.018,0.823,2.410,0.573,-0.615,-0.072,2.186,0.000,-2.18,-0.24,0.997,-15.17,0.26,-1.77,8.07,1405,1493,1199,1523,
2.795,1.00,0,0.300,0.444,2.271,0.624,-0.565,-0.389,2.094,0.000,0.93,1.02,0.999,-13.75,-3.37,-0.09,9.73,1535,1537,1228,1509,
2.996,1.00,0,0.346,0.042,2.179,0.607,-0.396,-0.232,2.059,0.000,0.75,1.16,0.998,5.08,-4.45,-0.23,9.60,1528,1543,1225,1504,
3.196,1.00,0,0.417,-0.250,2.220,0.648,-0.163,0.234,2.170,0.000,0.34,1.34,0.996,-0.03,-2.09,-1.47,8.37,1514,1557,1201,1502,
3.397,1.00,0,0.572,-0.468,2.255,0.679,0.101,0.299,2.275,0.000,-0.20,1.36,0.995,-1.41,-2.20,-1.10,8.75,1492,1556,1208,1498,
3.599,1.00,0,0.704,-0.420,2.203,0.609,0.340,0.092,2.294,0.000,-0.67,1.20,0.996,-2.74,-0.79,0.38,10.23,1476,1542,1237,1494,
3.801,1.00,0,0.837,-0.366,2.197,0.511,0.589,0.294,2.359,0.000,-1.04,0.90,0.996,-2.02,1.22,0.22,10.06,1463,1533,1234,1494,
4.002,1.00,0,1.058,-0.231,2.312,0.377,0.818,0.843,2.420,0.000,-1.25,0.58,0.996,-2.13,0.86,-2.45,7.39,1440,1529,1182,1488,
4.203,1.00,0,1.156,0.022,2.408,0.193,0.976,0.716,2.445,0.000,-1.35,0.27,0.994,-3.39,0.65,-2.56,7.29,1434,1515,1180,1489,
4.404,1.00,0,1.241,0.405,2.347,0.005,1.082,0.022,2.314,0.000,-1.38,0.01,0.994,0.19,1.92,-0.42,9.45,1448,1502,1221,1485,
4.606,1.00,0,1.232,0.741,2.443,-0.232,1.141,0.127,2.339,0.000,-1.35,-0.27,0.995,0.42,1.66,-1.49,8.36,1442,1491,1201,1488,
4.807,1.50,0,1.213,1.036,2.543,-0.459,1.147,0.323,2.369,0.000,-1.28,-0.51,0.995,-0.68,2.09,-2.92,6.92,1433,1478,1173,1491,
5.009,1.50,0,1.089,1.279,2.492,-0.661,1.105,-0.195,2.248,0.000,-1.18,-0.71,0.993,0.02,1.68,-1.50,8.36,1447,1473,1200,1494,
