t,phase_or_event,x,y,z,vx,vy,vz,yaw_deg,det_x,det_y,det_area,det_range,fixes,fix_res,rej,unm,cross_ev,cross_lat,cross_dz,fix_cx_sum,fix_al_sum,throttle,roll,pitch,yaw,arm,att_hz,rtt_ms,timeouts,cam_fps,vbat,el_deg,vert_live,commit_why,alt_gated,alt_rejected,cam_rej
0.080,ev0/lm0,0.61,-0.15,-0.13,0.03,0.00,0.00,90.9,0.003,-0.028,0.0873,7.81,3,0.24,0,0,-1,0.000,0.000,-1.455,-1.517,1250,1500,1500,1500,1800,33,9.8,0,60,24.89,12.06,1,-,0,0,2
0.183,ev0/lm0,0.63,-0.23,-0.14,0.00,0.00,0.00,90.9,0.001,-0.047,0.0873,7.81,5,0.07,0,0,-1,0.000,0.000,-1.499,-2.303,1250,1500,1500,1500,1800,33,11.8,0,60,24.64,11.83,1,-,0,0,2
0.283,ev0/lm0,0.58,-0.32,-0.14,-0.00,-0.00,0.00,90.9,0.000,-0.054,0.0881,7.84,8,0.05,0,0,-1,0.000,0.000,-1.375,-3.225,1250,1500,1500,1500,1800,33,10.8,0,60,24.27,11.80,1,-,0,3,2
0.385,ev0/lm0,0.58,-0.37,-0.14,0.00,0.00,0.00,90.9,0.006,-0.028,0.0885,7.86,10,0.03,0,0,-1,0.000,0.000,-1.356,-3.643,1250,1500,1500,1500,1800,33,9.4,0,60,24.27,11.06,1,-,0,8,2
0.486,ev0/lm0,0.56,-0.40,-0.14,-0.00,-0.00,0.00,90.9,0.006,0.001,0.0897,7.76,13,0.01,0,0,-1,0.000,0.000,-1.316,-4.007,1250,1500,1500,1500,1800,33,11.6,0,60,24.11,10.06,1,-,0,13,2
0.586,ev0/lm0,0.56,-0.42,-0.14,0.00,0.00,0.00,90.9,0.006,0.047,0.0905,7.78,15,0.01,0,0,-1,0.000,0.000,-1.310,-4.182,1250,1500,1500,1500,1800,33,10.8,0,60,23.99,8.96,1,-,0,15,2
0.687,ev0/lm0,0.54,-0.43,-0.14,-0.00,-0.00,0.00,91.0,0.008,0.107,0.0922,7.73,18,0.00,0,0,-1,0.000,0.000,-1.273,-4.287,1250,1500,1500,1500,1800,33,9.9,0,60,23.99,7.43,1,-,0,16,2
0.788,ev0/lm0,0.54,-0.42,0.28,-0.00,0.01,0.36,91.0,0.009,0.176,0.0940,7.65,20,0.01,0,0,-1,0.000,0.000,-1.281,-4.201,1250,1500,1500,1500,1800,33,10.5,0,60,23.89,5.77,1,-,0,18,2
0.888,ev0/lm0,0.54,-0.39,0.79,-0.01,0.03,3.26,91.0,0.011,0.254,0.0965,7.58,23,0.02,0,0,-1,0.000,0.000,-1.263,-3.908,1034,1264,1712,1500,1800,33,11.4,0,60,23.82,3.92,1,-,0,18,2
0.989,ev0/lm0,0.53,-0.37,1.25,-0.04,0.06,3.30,90.0,0.010,0.208,0.0957,7.55,25,0.02,0,0,-1,0.000,0.000,-1.260,-3.731,1028,1285,1685,1500,1800,33,9.7,0,60,23.82,-2.78,1,-,0,18,2
1.089,ev0/lm0,0.49,-0.20,1.58,-0.15,0.14,2.82,89.0,0.039,-0.089,0.0943,6.66,27,0.15,0,0,-1,0.000,0.000,-1.193,-2.187,1011,1398,1505,1500,1800,33,11.2,0,60,23.92,-1.45,1,-,0,18,3
1.189,ev0/lm0,0.48,0.13,1.73,-0.20,0.21,1.85,88.0,0.060,-0.201,0.0957,6.32,30,0.18,0,0,-1,0.000,0.000,-1.206,0.842,1075,1489,1335,1493,1800,33,11.4,0,60,24.11,-0.19,1,-,0,18,3
1.290,ev0/lm0,0.42,0.32,1.80,-0.32,0.31,1.10,91.0,0.047,0.028,0.0919,6.44,32,0.11,0,0,-1,0.000,0.000,-1.129,2.453,1164,1531,1346,1506,1800,33,9.7,0,60,24.11,4.64,1,-,0,18,3
1.391,ev0/lm0,0.35,0.45,1.92,-0.42,0.35,0.68,92.0,0.044,0.531,0.1059,6.74,35,0.04,0,0,-1,0.000,0.000,-1.060,3.409,1198,1553,1346,1511,1800,33,9.8,0,60,24.11,0.48,1,-,0,18,3
1.492,ev0/lm0,0.33,0.46,1.99,-0.44,0.31,0.26,93.0,0.069,0.753,0.0919,7.07,37,0.04,0,0,-1,0.000,0.000,-1.121,3.155,1222,1549,1371,1515,1800,33,11.5,0,60,24.11,1.55,1,-,0,18,3
1.593,ev0/lm0,0.19,0.44,2.03,-0.45,0.20,0.04,92.0,0.100,0.917,0.0609,6.94,40,0.09,0,0,-1,0.000,0.000,-0.912,2.683,1231,1571,1397,1516,1800,33,10.7,0,60,24.04,-0.30,1,-,0,19,3
1.693,ev0/lm0,0.08,0.44,2.22,-0.42,0.04,0.32,92.0,0.113,0.908,0.0620,6.99,42,0.03,0,0,-1,0.000,0.000,-0.762,2.490,1203,1598,1407,1519,1800,33,11.1,0,60,24.04,-0.06,1,-,0,19,3
1.794,ev0/lm0,0.16,0.45,2.27,-0.29,-0.14,0.52,92.0,0.116,0.878,0.0644,6.70,45,0.08,0,0,-1,0.000,0.000,-1.015,2.726,1175,1573,1425,1517,1800,33,10.2,0,60,24.00,-0.14,1,-,0,19,3
1.895,ev0/lm0,0.13,0.49,2.25,-0.16,-0.28,0.45,91.1,0.122,0.839,0.0671,6.51,47,0.08,0,0,-1,0.000,0.000,-0.995,3.316,1171,1555,1446,1514,1800,33,10.5,0,60,24.07,-0.15,1,-,0,19,3
1.996,ev0/lm0,0.09,0.55,2.15,-0.06,-0.38,0.20,91.1,0.117,0.779,0.0918,6.50,50,0.05,0,0,-1,0.000,0.000,-0.914,4.278,1183,1538,1457,1515,1800,33,10.8,0,60,24.07,-0.11,1,-,0,19,3
2.098,ev0/lm0,0.10,0.56,2.03,0.02,-0.43,-0.24,91.1,0.108,0.706,0.0996,6.59,52,0.04,0,0,-1,0.000,0.000,-0.939,4.739,1210,1518,1472,1515,1800,33,11.4,0,60,24.14,-0.12,1,-,0,19,3
2.198,ev0/lm0,0.14,0.52,1.92,0.08,-0.47,-0.52,91.1,0.089,0.610,0.1059,6.82,55,0.03,0,0,-1,0.000,0.000,-0.995,4.884,1236,1500,1548,1514,1800,33,10.2,0,60,24.11,1.14,1,-,0,19,3
2.299,ev0/lm0,0.13,0.43,1.83,0.11,-0.49,-0.66,90.1,0.075,0.553,0.1023,7.07,57,0.07,0,0,-1,0.000,0.000,-0.972,4.477,1254,1508,1544,1511,1800,33,10.5,0,60,24.11,1.16,1,-,0,19,3
2.399,ev0/lm0,0.12,0.27,1.79,0.13,-0.50,-0.50,90.1,0.056,0.351,0.0960,7.41,60,0.08,0,0,-1,0.000,0.000,-0.922,3.375,1242,1521,1542,1511,1800,33,11.3,0,60,23.95,1.33,1,-,0,19,3
2.501,ev0/lm0,0.15,0.12,1.76,0.17,-0.43,-0.14,90.1,0.047,0.244,0.0922,7.58,62,0.08,0,0,-1,0.000,0.000,-0.984,2.363,1220,1497,1552,1510,1800,33,9.4,0,57,23.85,2.17,1,-,0,19,3
2.602,ev0/lm0,0.21,-0.05,1.73,0.22,-0.32,0.16,90.1,0.038,0.176,0.0899,7.68,65,0.08,0,0,-1,0.000,0.000,-1.093,1.074,1203,1494,1558,1508,1800,33,11.3,0,57,23.85,2.72,1,-,0,19,3
2.702,ev0/lm0,0.27,-0.19,1.68,0.23,-0.19,0.24,90.1,0.026,0.115,0.0876,7.86,67,0.11,0,0,-1,0.000,0.000,-1.183,-0.025,1203,1492,1558,1506,1800,33,10.6,0,57,23.89,2.82,1,-,0,19,3
2.803,ev0/lm0,0.32,-0.30,1.63,0.22,-0.07,0.16,90.1,,,,,69,0.09,0,0,-1,0.000,0.000,-1.251,-1.020,1215,1492,1553,1505,1800,33,8.8,0,57,23.92,,0,,0,19,4
2.904,ev0/lm0,0.41,-0.42,1.57,0.22,0.06,0.05,89.1,0.011,0.054,0.0862,8.05,72,0.08,0,0,-1,0.000,0.000,-1.420,-2.214,1229,1490,1549,1499,1800,33,12.5,0,57,23.92,3.50,1,-,0,19,5
3.004,ev0/lm0,0.37,-0.48,1.56,0.18,0.19,0.05,89.2,0.006,0.050,0.0860,8.11,74,0.07,0,0,-1,0.000,0.000,-1.270,-2.977,1235,1492,1548,1500,1800,33,10.8,0,57,23.89,3.60,1,-,0,19,5
3.105,ev0/lm0,0.36,-0.56,1.56,0.15,0.33,0.22,89.2,0.002,0.057,0.0859,8.05,77,0.04,0,0,-1,0.000,0.000,-1.217,-3.963,1228,1492,1550,1500,1800,33,10.6,0,57,23.83,3.43,1,-,0,19,5
3.205,ev0/lm0,0.38,-0.56,1.59,0.12,0.46,0.43,89.2,0.001,0.072,0.0865,8.08,79,0.05,0,0,-1,0.000,0.000,-1.235,-4.432,1211,1491,1555,1500,1800,33,11.7,0,57,23.83,3.07,1,-,0,19,5
3.306,ev0/lm0,0.39,-0.58,1.63,0.09,0.59,0.63,89.2,0.000,0.087,0.0868,8.11,82,0.04,0,0,-1,0.000,0.000,-1.242,-5.180,1189,1437,1508,1500,1800,33,11.0,0,57,23.82,2.60,1,-,0,19,5
3.406,ev0/lm0,0.41,-0.55,1.68,0.05,0.71,0.72,89.2,-0.004,0.126,0.0884,8.03,84,0.03,0,0,-1,0.000,0.000,-1.276,-5.492,1183,1434,1504,1499,1800,33,9.9,0,57,23.89,3.06,1,-,0,19,5
3.507,ev0/lm0,0.42,-0.45,1.71,-0.02,0.79,0.66,90.2,-0.002,0.225,0.0899,7.65,87,0.02,0,0,-1,0.000,0.000,-1.293,-5.328,1182,1445,1463,1502,1800,33,10.6,0,60,23.89,2.19,1,-,0,19,5
3.607,ev0/lm0,0.52,-0.33,1.74,-0.07,0.84,0.43,90.2,-0.001,0.287,0.0916,7.46,89,0.09,0,0,-1,0.000,0.000,-1.529,-4.923,1194,1452,1461,1500,1800,33,12.4,0,60,23.95,1.61,1,-,0,19,5
3.708,ev0/lm0,0.49,-0.17,1.75,-0.19,0.85,0.24,90.2,0.001,0.393,0.0955,7.32,92,0.04,0,0,-1,0.000,0.000,-1.492,-4.169,1205,1499,1443,1501,1800,33,9.9,0,60,23.99,1.55,1,-,0,19,5
3.808,ev0/lm0,0.45,-0.05,1.77,-0.30,0.84,0.13,90.2,0.001,0.467,0.0976,7.23,94,0.03,0,0,-1,0.000,0.000,-1.457,-3.866,1207,1534,1455,1502,1800,33,11.0,0,60,23.99,1.44,1,-,0,19,5
