t,phase_or_event,x,y,z,vx,vy,vz,yaw_deg,det_x,det_y,det_area,det_range,fixes,fix_res,rej,unm,cross_ev,cross_lat,cross_dz,fix_cx_sum,fix_al_sum,throttle,roll,pitch,yaw,arm,att_hz,rtt_ms,timeouts,cam_fps,vbat
0.080,ev0,0.00,0.00,-0.22,0.00,0.00,0.00,91.4,-0.028,-0.261,0.0895,7.94,0,0.00,0,3,-1,0.000,0.000,0.000,0.000,1250,1500,1500,1500,1800,33,10.4,0,59,24.72
0.181,ev0,0.00,0.00,-0.22,0.00,0.00,0.00,91.4,-0.028,-0.261,0.0894,7.94,0,0.00,0,5,-1,0.000,0.000,0.000,0.000,1250,1500,1500,1500,1800,33,11.1,0,58,24.72
0.282,ev0,0.00,0.00,-0.23,0.00,0.00,0.00,91.4,-0.027,-0.260,0.0897,7.97,0,0.00,0,8,-1,0.000,0.000,0.000,0.000,1250,1500,1500,1500,1800,33,12.3,0,58,24.20
0.382,ev0,0.00,0.00,-0.24,0.00,0.00,0.00,91.4,-0.028,-0.239,0.0899,7.94,0,0.00,0,10,-1,0.000,0.000,0.000,0.000,1250,1500,1500,1500,1800,33,10.2,0,58,24.01
0.482,ev0,0.00,0.00,-0.25,0.00,0.00,0.00,91.4,-0.027,-0.215,0.0905,7.92,0,0.00,0,13,-1,0.000,0.000,0.000,0.000,1250,1500,1500,1500,1800,33,11.2,0,58,24.01
0.583,ev0,0.00,0.00,-0.84,0.00,0.00,0.00,91.4,-0.028,-0.185,0.0911,7.84,0,0.00,0,15,-1,0.000,0.000,0.000,0.000,1250,1500,1500,1500,1800,33,12.3,0,58,23.86
0.683,ev0/lm0,0.87,-0.13,-1.26,0.05,0.00,0.00,91.4,-0.022,-0.149,0.0917,7.86,3,0.32,0,15,-1,0.000,0.000,-2.055,-1.686,1250,1500,1500,1500,1800,33,10.5,0,58,23.75
0.784,ev0/lm0,0.80,-0.21,-1.48,0.00,0.00,0.00,91.4,-0.019,-0.103,0.0925,7.81,5,0.09,0,15,-1,0.000,0.000,-1.872,-2.409,1250,1500,1500,1500,1800,33,11.0,0,58,23.75
0.885,ev0/lm0,0.76,-0.29,-0.63,0.00,0.00,0.00,91.4,-0.016,-0.064,0.0935,7.76,8,0.03,0,15,-1,0.000,0.000,-1.779,-3.160,1250,1500,1500,1500,1800,33,12.0,0,58,23.69
0.986,ev0/lm0,0.76,-0.32,0.12,0.00,0.01,1.30,91.4,-0.014,-0.019,0.0948,7.73,10,0.02,0,15,-1,0.000,0.000,-1.772,-3.446,1197,1469,1569,1498,1800,33,11.1,0,58,23.62
1.087,ev0,0.75,-0.33,0.62,0.01,0.03,1.86,91.4,-0.012,0.017,0.0957,7.68,11,0.02,0,17,-1,0.000,0.000,-1.757,-3.575,1155,1458,1594,1498,1800,33,10.6,0,58,23.62
1.187,ev0,0.75,-0.32,1.02,-0.01,0.08,2.18,91.5,-0.012,0.004,0.0967,7.65,11,0.02,0,19,-1,0.000,0.000,-1.757,-3.575,1119,1446,1617,1498,1800,33,12.5,0,59,23.67
1.288,ev0,0.75,-0.31,1.27,-0.05,0.17,1.86,91.5,-0.008,-0.136,0.0974,7.39,11,0.02,0,22,-1,0.000,0.000,-1.757,-3.575,1155,1457,1593,1498,1800,33,10.8,0,59,23.89
1.388,ev0,0.74,-0.29,1.40,-0.10,0.26,1.28,91.5,0.000,-0.246,0.0998,7.20,11,0.02,0,24,-1,0.000,0.000,-1.757,-3.575,1200,1469,1568,1498,1800,33,10.5,0,59,23.89
1.488,ev0,0.73,-0.26,1.42,-0.14,0.35,0.57,91.5,0.006,-0.275,0.1016,7.11,11,0.02,0,27,-1,0.000,0.000,-1.757,-3.575,1255,1477,1550,1499,1800,33,11.7,0,59,23.96
1.589,ev0,0.71,-0.21,1.46,-0.18,0.47,0.27,91.5,0.006,-0.239,0.1026,7.11,11,0.02,0,29,-1,0.000,0.000,-1.757,-3.575,1280,1453,1483,1499,1800,33,10.5,0,59,23.79
1.689,ev0,0.69,-0.16,1.55,-0.23,0.58,0.33,92.5,0.011,-0.200,0.1034,7.16,11,0.02,0,32,-1,0.000,0.000,-1.757,-3.575,1275,1452,1483,1503,1800,33,9.5,0,59,23.79
1.790,ev0,0.66,-0.10,1.62,-0.31,0.65,0.62,92.5,0.020,-0.068,0.1064,7.07,11,0.02,0,34,-1,0.000,0.000,-1.757,-3.575,1252,1448,1478,1504,1800,33,12.2,0,59,23.60
1.891,ev0,0.63,-0.03,1.66,-0.39,0.67,0.79,92.5,0.028,0.039,0.1088,6.86,11,0.02,0,37,-1,0.000,0.000,-1.757,-3.575,1241,1506,1441,1505,1800,33,10.6,0,59,23.51
1.991,ev0,0.58,0.04,1.69,-0.48,0.65,0.83,92.5,0.033,0.086,0.1113,6.78,11,0.02,0,39,-1,0.000,0.000,-1.757,-3.575,1238,1524,1445,1506,1800,33,9.4,0,59,23.51
2.093,ev0,0.53,0.10,1.66,-0.53,0.59,0.74,92.5,0.040,0.175,0.1154,6.80,11,0.02,0,42,-1,0.000,0.000,-1.757,-3.575,1245,1538,1456,1508,1800,33,11.3,0,59,23.50
2.193,ev0,0.48,0.16,1.64,-0.52,0.52,0.61,92.5,0.045,0.257,0.1184,6.82,11,0.02,0,44,-1,0.000,0.000,-1.757,-3.575,1256,1541,1463,1509,1800,33,10.2,0,57,23.48
2.294,ev0,0.43,0.20,1.62,-0.48,0.45,0.53,91.5,0.063,0.281,0.1214,6.74,11,0.02,0,47,-1,0.000,0.000,-1.757,-3.575,1263,1543,1468,1507,1800,33,9.9,0,57,23.48
2.395,ev0,0.38,0.24,1.62,-0.41,0.38,0.51,91.6,0.072,0.283,0.1243,6.55,11,0.02,0,49,-1,0.000,0.000,-1.757,-3.575,1264,1540,1471,1508,1800,33,12.2,0,57,23.44
2.495,ev0,0.34,0.28,1.61,-0.34,0.31,0.54,91.6,0.078,0.287,0.1272,6.41,11,0.02,0,52,-1,0.000,0.000,-1.757,-3.575,1263,1506,1553,1510,1800,33,10.3,0,57,23.39
2.596,ev0,0.32,0.31,1.61,-0.25,0.27,0.55,91.6,0.083,0.267,0.1290,6.37,11,0.02,0,54,-1,0.000,0.000,-1.757,-3.575,1263,1504,1553,1510,1800,33,10.2,0,57,23.39
2.696,ev0,0.20,0.40,1.65,-0.23,0.32,0.59,91.6,0.081,0.122,0.1287,6.42,12,0.20,0,56,-1,0.000,0.000,-1.544,-2.958,1260,1508,1554,1514,1800,33,11.8,0,57,23.35
2.796,ev0,0.18,0.44,1.70,-0.19,0.39,0.68,90.6,0.080,0.061,0.1306,6.51,12,0.20,0,58,-1,0.000,0.000,-1.544,-2.958,1253,1508,1556,1511,1800,33,10.4,0,57,23.34
2.897,ev0,0.16,0.49,1.74,-0.15,0.49,0.75,90.6,0.074,0.042,0.1327,6.50,12,0.20,0,61,-1,0.000,0.000,-1.544,-2.958,1246,1514,1478,1512,1800,33,10.2,0,57,23.34
2.998,ev0,0.15,0.54,1.81,-0.12,0.58,0.81,90.6,0.073,0.042,0.1352,6.46,12,0.20,0,63,-1,0.000,0.000,-1.544,-2.958,1242,1516,1477,1512,1800,33,12.1,0,57,23.34
3.098,ev0,0.14,0.60,1.87,-0.09,0.67,0.82,90.6,0.071,0.054,0.1383,6.35,12,0.20,0,66,-1,0.000,0.000,-1.544,-2.958,1242,1510,1465,1513,1800,33,10.4,0,57,23.35
3.198,ev0,0.13,0.67,1.94,-0.07,0.71,0.82,89.6,0.072,0.242,0.1462,6.20,12,0.20,0,68,-1,0.000,0.000,-1.544,-2.958,1243,1506,1460,1510,1800,33,10.5,0,51,23.35
3.299,ev0,0.12,0.74,2.02,-0.05,0.69,0.83,89.6,0.073,0.378,0.1521,6.06,12,0.20,0,71,-1,0.000,0.000,-1.544,-2.958,1243,1509,1471,1510,1800,33,12.9,0,51,23.35
3.400,ev0,0.12,0.81,2.08,-0.04,0.64,0.78,89.6,0.073,0.514,0.1612,5.90,12,0.20,0,73,-1,0.000,0.000,-1.544,-2.958,1247,1507,1478,1510,1800,33,9.4,0,51,23.37
3.500,ev0,0.10,0.94,2.12,-0.03,0.60,0.73,89.6,0.074,0.535,0.1632,5.80,13,0.11,0,75,-1,0.000,0.000,-1.502,-2.342,1252,1510,1491,1511,1800,33,9.3,0,51,23.37
3.601,ev0,0.10,1.00,2.26,-0.00,0.56,0.84,88.7,0.070,0.553,0.1606,5.70,13,0.11,0,77,-1,0.000,0.000,-1.502,-2.342,1243,1505,1495,1508,1800,33,12.7,0,51,23.35
3.701,ev0,0.10,1.05,2.35,0.02,0.52,0.88,88.7,0.067,0.564,0.1599,5.60,13,0.11,0,80,-1,0.000,0.000,-1.502,-2.342,1241,1500,1500,1508,1800,33,11.7,0,51,23.35
3.802,ev0,0.10,1.10,2.42,0.03,0.50,0.86,88.7,0.063,0.576,0.1579,5.54,13,0.11,0,82,-1,0.000,0.000,-1.502,-2.342,1242,1497,1503,1508,1800,33,10.0,0,51,23.35
3.903,ev0,0.10,1.15,2.53,0.03,0.50,0.91,88.7,0.059,0.592,0.1557,5.48,13,0.11,0,85,-1,0.000,0.000,-1.502,-2.342,1229,1496,1529,1508,1800,33,12.9,0,51,23.37
4.003,ev0,0.11,1.20,2.65,0.03,0.50,0.95,88.7,0.053,0.601,0.1061,5.41,13,0.11,0,87,-1,0.000,0.000,-1.502,-2.342,1224,1495,1518,1508,1800,33,10.4,0,51,23.37
4.103,ev0,0.11,1.25,2.74,0.03,0.51,0.91,87.7,0.047,0.588,0.1059,5.39,13,0.11,0,90,-1,0.000,0.000,-1.502,-2.342,1221,1496,1504,1504,1800,33,9.5,0,51,23.37
4.204,ev0,0.11,1.30,2.87,0.02,0.54,0.90,87.7,0.042,0.588,0.1047,5.32,13,0.11,0,92,-1,0.000,0.000,-1.502,-2.342,1221,1499,1545,1505,1800,33,12.0,0,51,23.44
4.304,ev0,0.11,1.36,2.96,0.01,0.55,0.80,87.7,0.084,0.599,0.1036,4.67,13,0.11,0,95,-1,0.000,0.000,-1.502,-2.342,1232,1500,1529,1505,1800,33,11.1,0,51,23.49
4.405,ev0,0.11,1.42,3.02,0.00,0.57,0.67,87.7,0.083,0.608,0.1015,4.66,13,0.11,0,97,-1,0.000,0.000,-1.502,-2.342,1236,1502,1514,1505,1800,33,9.8,0,51,23.49
4.506,ev0,0.11,1.47,3.09,-0.00,0.60,0.58,87.7,0.082,0.576,0.1048,4.65,13,0.11,0,100,-1,0.000,0.000,-1.502,-2.342,1238,1503,1498,1505,1800,33,12.6,0,51,23.49
4.606,ev0,0.11,1.54,3.20,-0.01,0.62,0.63,87.7,0.079,0.586,0.1049,4.61,13,0.11,0,102,-1,0.000,0.000,-1.502,-2.342,1238,1506,1532,1505,1800,33,11.1,0,51,23.46
4.707,ev0,0.11,1.60,3.30,-0.02,0.64,0.67,87.7,0.075,0.592,0.1079,4.57,13,0.11,0,105,-1,0.000,0.000,-1.502,-2.342,1231,1509,1517,1505,1800,33,10.7,0,51,23.46
4.807,ev0,0.11,1.67,3.38,-0.02,0.67,0.67,87.8,0.072,0.576,0.1128,4.53,13,0.11,0,107,-1,0.000,0.000,-1.502,-2.342,1232,1512,1550,1506,1800,33,12.1,0,51,23.44
4.907,ev0,0.11,1.74,3.46,-0.02,0.70,0.66,87.8,0.070,0.589,0.1092,4.49,13,0.11,0,110,-1,0.000,0.000,-1.502,-2.342,1235,1513,1531,1506,1800,33,10.8,0,51,23.46
5.008,ev0,0.10,1.81,3.52,-0.02,0.71,0.59,86.8,0.066,0.594,0.1098,4.44,13,0.11,0,112,-1,0.000,0.000,-1.502,-2.342,1238,1513,1514,1503,1800,33,10.0,0,51,23.46
5.109,ev0,0.10,1.88,3.58,-0.00,0.73,0.51,86.8,0.060,0.582,0.1124,4.40,13,0.11,0,115,-1,0.000,0.000,-1.502,-2.342,1245,1512,1546,1503,1800,33,12.1,0,51,23.44
5.209,ev0,0.10,1.95,3.63,0.02,0.76,0.50,86.8,0.050,0.619,0.1106,4.44,13,0.11,0,117,-1,0.000,0.000,-1.502,-2.342,1239,1510,1528,1503,1800,33,11.0,0,58,23.41
5.310,ev0,0.11,2.03,3.67,0.03,0.81,0.51,86.8,0.049,0.597,0.1156,4.36,13,0.11,0,120,-1,0.000,0.000,-1.502,-2.342,1231,1509,1504,1503,1800,33,10.4,0,58,23.41
5.411,ev0,0.11,2.12,3.74,0.04,0.87,0.59,86.8,0.049,0.611,0.1162,4.23,13,0.11,0,122,-1,0.000,0.000,-1.502,-2.342,1225,1509,1531,1503,1800,33,11.6,0,58,23.41
5.511,ev0,0.12,2.21,3.80,0.06,0.90,0.53,86.8,0.049,0.622,0.1156,4.11,13,0.11,0,125,-1,0.000,0.000,-1.502,-2.342,1227,1508,1506,1504,1800,33,10.9,0,58,23.42
5.612,ev0,0.12,2.30,3.84,0.07,0.93,0.45,86.8,0.047,0.618,0.1192,4.01,13,0.11,0,127,-1,0.000,0.000,-1.502,-2.342,1233,1506,1533,1504,1800,33,10.3,0,58,23.42
5.712,ev0,0.13,2.40,3.89,0.07,0.95,0.40,86.8,0.046,0.643,0.0998,3.86,13,0.11,0,130,-1,0.000,0.000,-1.502,-2.342,1240,1505,1510,1504,1800,33,11.3,0,58,23.44
5.813,ev0,0.12,2.61,3.92,0.07,0.97,0.34,86.8,0.039,0.906,0.0570,3.72,14,0.19,0,131,-1,0.000,0.000,-1.447,-1.243,1239,1511,1515,1505,1800,33,10.0,0,58,23.42
5.913,ev0,0.12,2.70,3.95,0.08,0.97,0.33,86.8,0.034,0.950,0.0427,3.55,14,0.19,0,134,-1,0.000,0.000,-1.447,-1.243,1233,1510,1494,1505,1800,33,10.3,0,58,23.42
6.014,ev0,0.13,2.80,4.01,0.09,0.96,0.39,85.9,0.062,0.526,0.0338,12.81,14,0.19,0,136,-1,0.000,0.000,-1.447,-1.243,1228,1508,1526,1501,1800,33,12.9,0,58,23.39
6.114,ev0,0.14,2.90,4.07,0.09,0.96,0.41,85.9,0.063,0.579,0.0350,12.67,14,0.19,0,139,-1,0.000,0.000,-1.447,-1.243,1232,1507,1506,1501,1800,33,11.2,0,58,23.41
6.214,ev0,0.15,2.99,4.12,0.10,0.96,0.39,85.9,0.063,0.553,0.0352,12.67,14,0.19,0,141,-1,0.000,0.000,-1.447,-1.243,1241,1506,1485,1501,1800,33,9.8,0,54,23.41
6.315,ev0,0.16,3.09,4.16,0.10,0.96,0.35,85.9,0.060,0.576,0.0366,12.27,14,0.19,0,144,-1,0.000,0.000,-1.447,-1.243,1250,1504,1515,1501,1800,33,11.6,0,54,23.42
6.415,ev0,0.17,3.19,4.20,0.11,0.94,0.37,85.9,0.062,0.621,0.0374,12.14,14,0.19,0,146,-1,0.000,0.000,-1.447,-1.243,1255,1502,1498,1501,1800,33,11.3,0,54,23.39
6.516,ev0,0.18,3.28,4.26,0.11,0.94,0.46,85.9,0.061,0.608,0.0381,12.08,14,0.19,0,149,-1,0.000,0.000,-1.447,-1.243,1254,1501,1481,1501,1800,33,10.2,0,54,23.39
6.617,ev0,0.19,3.37,4.35,0.11,0.92,0.61,85.9,0.060,0.653,0.0395,11.89,14,0.19,0,151,-1,0.000,0.000,-1.447,-1.243,1245,1501,1512,1501,1800,33,10.6,0,54,23.33
6.718,ev0,0.20,3.46,4.40,0.10,0.90,0.65,85.9,0.060,0.668,0.0404,11.96,14,0.19,0,154,-1,0.000,0.000,-1.447,-1.243,1236,1501,1496,1501,1800,33,10.8,0,54,23.32
6.818,ev0,0.21,3.55,4.44,0.09,0.89,0.65,85.9,0.059,0.665,0.0409,12.02,14,0.19,0,156,-1,0.000,0.000,-1.447,-1.243,1232,1501,1479,1501,1800,33,10.4,0,54,23.32
6.918,ev0,0.22,3.64,4.48,0.08,0.87,0.65,85.9,0.057,0.715,0.0423,11.77,14,0.19,0,159,-1,0.000,0.000,-1.447,-1.243,1228,1501,1515,1500,1800,33,10.7,0,54,23.33
7.019,ev0,0.23,3.73,4.51,0.07,0.85,0.56,85.9,0.054,0.771,0.0438,11.43,14,0.19,0,161,-1,0.000,0.000,-1.447,-1.243,1231,1504,1499,1500,1800,33,10.5,0,54,23.35
7.119,ev0,0.23,3.81,4.54,0.06,0.84,0.50,85.9,0.054,0.742,0.0438,11.54,14,0.19,0,164,-1,0.000,0.000,-1.447,-1.243,1230,1504,1483,1500,1800,33,9.8,0,54,23.35
7.220,ev0,0.24,3.90,4.64,0.06,0.82,0.53,86.0,0.051,0.776,0.0457,11.20,14,0.19,0,166,-1,0.000,0.000,-1.447,-1.243,1224,1504,1521,1500,1800,33,11.2,0,57,23.37
7.320,ev0,0.25,3.98,4.68,0.06,0.80,0.48,86.0,0.052,0.803,0.0435,11.15,14,0.19,0,169,-1,0.000,0.000,-1.447,-1.243,1225,1504,1506,1500,1800,33,10.9,0,57,23.37
7.421,ev0,0.25,4.06,4.71,0.05,0.80,0.39,86.0,0.049,0.783,0.0467,11.10,14,0.19,0,171,-1,0.000,0.000,-1.447,-1.243,1226,1506,1488,1501,1800,33,10.1,0,57,23.37
7.521,ev0,0.26,4.14,4.77,0.04,0.80,0.34,86.0,0.049,0.793,0.0459,10.94,14,0.19,0,174,-1,0.000,0.000,-1.447,-1.243,1232,1507,1525,1501,1800,33,11.6,0,57,23.39
7.621,ev0,0.26,4.22,4.81,0.04,0.77,0.27,86.0,0.048,0.819,0.0422,10.79,14,0.19,0,176,-1,0.000,0.000,-1.447,-1.243,1242,1507,1511,1501,1800,33,11.1,0,57,23.41
7.722,ev0,0.26,4.29,4.83,0.04,0.76,0.23,86.0,0.047,0.824,0.0419,10.64,14,0.19,0,179,-1,0.000,0.000,-1.447,-1.243,1241,1507,1497,1501,1800,33,10.1,0,57,23.41
7.822,ev0,0.27,4.37,4.84,0.04,0.76,0.21,86.0,0.044,0.812,0.0439,10.54,14,0.19,0,181,-1,0.000,0.000,-1.447,-1.243,1237,1508,1481,1501,1800,33,10.5,0,57,23.37
7.923,ev0,0.27,4.45,4.87,0.04,0.75,0.28,86.0,0.042,0.825,0.0269,10.40,14,0.19,0,184,-1,0.000,0.000,-1.447,-1.243,1235,1509,1519,1501,1800,33,11.1,0,57,23.34
8.023,ev0,0.28,4.52,4.90,0.04,0.72,0.28,86.0,0.042,0.854,0.0244,10.22,14,0.19,0,186,-1,0.000,0.000,-1.447,-1.243,1237,1509,1507,1501,1800,33,9.7,0,57,23.34
8.124,ev0,0.28,4.59,4.91,0.04,0.71,0.23,86.0,0.038,0.838,0.0259,10.04,14,0.19,0,189,-1,0.000,0.000,-1.447,-1.243,1235,1508,1493,1502,1800,33,10.2,0,57,23.34
8.225,ev0,0.28,4.66,4.96,0.05,0.70,0.26,86.0,0.035,0.835,0.0264,9.91,14,0.19,0,191,-1,0.000,0.000,-1.447,-1.243,1231,1507,1480,1502,1800,33,11.5,0,60,23.34
8.325,ev0,0.29,4.73,4.99,0.07,0.67,0.26,86.0,0.032,0.856,0.0253,9.87,14,0.19,0,194,-1,0.000,0.000,-1.447,-1.243,1234,1505,1521,1502,1800,33,10.7,0,60,23.34
8.427,ev0,0.30,4.80,4.99,0.08,0.65,0.21,86.1,0.026,0.867,0.0248,9.79,14,0.19,0,196,-1,0.000,0.000,-1.447,-1.243,1233,1502,1509,1501,1800,33,11.0,0,60,23.34
8.528,ev0,0.31,4.86,5.01,0.09,0.67,0.18,86.1,0.020,0.839,0.0271,9.74,14,0.19,0,199,-1,0.000,0.000,-1.447,-1.243,1229,1500,1493,1501,1800,33,11.9,0,60,23.34
8.628,ev0,0.32,4.93,5.03,0.09,0.66,0.15,86.1,0.011,0.851,0.0269,9.51,14,0.19,0,201,-1,0.000,0.000,-1.447,-1.243,1231,1498,1479,1501,1800,33,10.6,0,60,23.34
8.729,ev0,0.33,5.00,5.04,0.10,0.64,0.12,86.1,0.008,0.876,0.0252,9.51,14,0.19,0,204,-1,0.000,0.000,-1.447,-1.243,1237,1498,1520,1500,1800,33,10.4,0,60,23.34
8.830,ev0,0.34,5.06,5.04,0.10,0.62,0.06,86.1,0.004,0.900,0.0236,9.31,14,0.19,0,206,-1,0.000,0.000,-1.447,-1.243,1243,1496,1510,1500,1800,33,11.5,0,60,23.34
8.930,ev0,0.35,5.12,5.05,0.10,0.61,0.08,86.1,-0.003,0.876,0.0258,9.28,14,0.19,0,209,-1,0.000,0.000,-1.447,-1.243,1235,1494,1498,1499,1800,33,10.2,0,60,23.32
9.031,ev0,0.36,5.18,5.10,0.11,0.61,0.16,86.1,-0.012,0.872,0.0266,9.10,14,0.19,0,211,-1,0.000,0.000,-1.447,-1.243,1226,1491,1484,1499,1800,33,10.9,0,60,23.32
9.131,ev0,0.37,5.24,5.13,0.09,0.61,0.19,86.1,-0.016,0.892,0.0255,9.02,14,0.19,0,214,-1,0.000,0.000,-1.447,-1.243,1226,1493,1527,1498,1800,33,11.1,0,60,23.34
9.232,ev0,0.38,5.30,5.15,0.07,0.59,0.14,86.1,-0.023,0.915,0.0243,8.79,14,0.19,0,216,-1,0.000,0.000,-1.447,-1.243,1234,1496,1516,1498,1800,33,10.2,0,58,23.35
9.332,ev0,0.38,5.36,5.15,0.05,0.58,0.06,86.1,-0.024,0.915,0.0246,8.82,14,0.19,0,219,-1,0.000,0.000,-1.447,-1.243,1234,1498,1505,1498,1800,33,11.2,0,58,23.35
9.433,ev0,0.39,5.42,5.14,0.03,0.59,0.01,86.1,-0.027,0.894,0.0265,8.75,14,0.19,0,221,-1,0.000,0.000,-1.447,-1.243,1232,1500,1491,1498,1800,33,11.5,0,58,23.34
9.534,ev0,0.39,5.48,5.12,0.02,0.59,-0.02,86.1,-0.030,0.897,0.0267,8.62,14,0.19,0,224,-1,0.000,0.000,-1.447,-1.243,1234,1502,1478,1498,1800,33,10.0,0,58,23.35
9.634,ev0,0.39,5.54,5.10,0.02,0.58,-0.05,86.2,-0.032,0.918,0.0254,8.50,14,0.19,0,226,-1,0.000,0.000,-1.447,-1.243,1242,1504,1518,1498,1800,33,12.3,0,58,23.35
9.735,ev0,0.39,5.60,5.09,0.01,0.56,-0.07,86.2,-0.033,0.951,0.0229,8.28,14,0.19,0,229,-1,0.000,0.000,-1.447,-1.243,1250,1506,1510,1498,1800,33,10.9,0,58,23.34
9.835,ev0,0.39,5.65,5.09,-0.00,0.53,-0.06,86.2,-0.033,0.950,0.0233,8.20,14,0.19,0,231,-1,0.000,0.000,-1.447,-1.243,1243,1507,1503,1498,1800,33,8.0,0,58,23.30
9.936,ev0,0.39,5.70,5.13,-0.00,0.52,0.00,87.2,-0.033,0.928,0.0253,8.17,14,0.19,0,234,-1,0.000,0.000,-1.447,-1.243,1231,1508,1493,1502,1800,33,10.8,0,58,23.30
10.036,ev0,0.39,5.76,5.13,0.01,0.53,0.05,87.2,-0.033,0.932,0.0253,8.11,14,0.19,0,236,-1,0.000,0.000,-1.447,-1.243,1228,1507,1480,1502,1800,33,12.0,0,58,23.29
10.137,ev0,0.39,5.81,5.12,0.01,0.51,0.02,87.2,-0.039,0.949,0.0243,7.94,14,0.19,0,239,-1,0.000,0.000,-1.447,-1.243,1233,1508,1525,1502,1800,33,10.6,0,58,23.32
10.238,ev0,0.39,5.86,5.10,0.01,0.49,-0.05,86.2,-0.045,0.969,0.0228,7.84,14,0.19,0,241,-1,0.000,0.000,-1.447,-1.243,1236,1508,1517,1498,1800,33,10.3,0,57,23.32
10.338,ev0,0.40,5.91,5.07,0.02,0.49,-0.14,87.2,-0.051,0.935,0.0262,7.78,14,0.19,0,244,-1,0.000,0.000,-1.447,-1.243,1237,1508,1506,1502,1800,33,11.7,0,57,23.29
10.439,ev0,0.40,5.96,5.07,0.02,0.51,-0.15,87.2,-0.055,0.926,0.0272,7.71,14,0.19,0,246,-1,0.000,0.000,-1.447,-1.243,1232,1509,1494,1502,1800,33,10.3,0,57,23.27
10.539,ev0,0.40,6.01,5.08,0.02,0.51,-0.13,86.2,-0.062,0.939,0.0267,7.58,14,0.19,0,249,-1,0.000,0.000,-1.447,-1.243,1235,1508,1483,1498,1800,33,11.0,0,57,23.27
10.640,ev0,0.40,6.06,5.05,0.03,0.49,-0.16,86.2,-0.071,0.961,0.0251,7.46,14,0.19,0,251,-1,0.000,0.000,-1.447,-1.243,1241,1506,1475,1498,1800,33,11.7,0,57,23.27
10.740,ev0,0.41,6.11,5.04,0.04,0.47,-0.18,86.2,-0.079,0.985,0.0195,7.32,14,0.19,0,254,-1,0.000,0.000,-1.447,-1.243,1246,1505,1518,1498,1800,33,10.3,0,57,23.27
10.841,ev0,0.41,6.16,5.04,0.03,0.45,-0.18,86.3,-0.087,1.004,0.0149,7.18,14,0.19,0,256,-1,0.000,0.000,-1.447,-1.243,1243,1506,1512,1498,1800,33,10.6,0,57,23.27
