t,phase_or_event,x,y,z,vx,vy,vz,yaw_deg,det_x,det_y,det_area,det_range,fixes,fix_res,rej,unm,cross_ev,cross_lat,cross_dz,fix_cx_sum,fix_al_sum,throttle,roll,pitch,yaw,arm,att_hz,rtt_ms,timeouts,cam_fps,vbat
0.080,ev0,0.00,0.00,0.20,0.00,0.00,0.00,89.6,-0.062,-0.282,0.0900,7.94,0,0.00,0,3,-1,0.000,0.000,0.000,0.000,1243,1503,1559,1512,1800,33,10.1,0,60,24.46
0.181,ev0,0.00,0.00,0.20,0.00,0.00,0.00,89.6,-0.063,-0.283,0.0900,7.86,0,0.00,0,5,-1,0.000,0.000,0.000,0.000,1249,1503,1557,1512,1800,33,10.8,0,60,24.46
0.281,ev0,0.00,0.00,0.12,0.00,0.00,0.00,89.6,-0.067,-0.411,0.0916,7.84,0,0.00,0,8,-1,0.000,0.000,0.000,0.000,1255,1503,1555,1512,1800,33,11.2,0,60,23.92
0.382,ev0,0.00,0.00,0.06,0.00,0.00,0.00,89.6,-0.079,-0.467,0.0946,7.76,0,0.00,0,10,-1,0.000,0.000,0.000,0.000,1262,1503,1554,1512,1800,33,10.3,0,60,23.75
0.482,ev0,0.00,0.00,0.02,0.00,0.00,0.00,88.6,-0.089,-0.479,0.0960,7.68,0,0.00,0,13,-1,0.000,0.000,0.000,0.000,1268,1502,1552,1508,1800,33,10.8,0,60,23.75
0.583,ev0,0.00,0.00,-0.47,0.00,0.00,0.00,88.6,-0.096,-0.443,0.0977,7.60,0,0.00,0,15,-1,0.000,0.000,0.000,0.000,1250,1500,1500,1500,1800,33,11.2,0,60,23.60
0.683,ev0/lm0,0.35,-0.02,-0.82,0.00,0.00,0.00,88.6,-0.095,-0.394,0.0996,7.58,1,0.59,0,17,-1,0.000,0.000,-0.817,-0.318,1250,1500,1500,1500,1800,33,10.5,0,60,23.51
0.784,ev0/lm0,0.75,-0.06,-1.01,0.00,0.00,0.00,88.6,-0.091,-0.224,0.0990,7.55,3,0.33,0,17,-1,0.000,0.000,-1.745,-0.889,1250,1500,1500,1500,1800,33,11.2,0,60,23.51
0.884,ev0/lm0,0.81,-0.10,-0.04,-0.01,0.04,13.69,88.6,-0.090,-0.136,0.1008,7.48,6,0.02,0,17,-1,0.000,0.000,-1.886,-1.405,1000,1500,1500,1500,1800,33,11.7,0,60,23.44
0.984,ev0,0.82,-0.10,1.23,-0.02,0.07,7.25,89.6,-0.087,-0.064,0.1028,7.48,7,0.02,0,18,-1,0.000,0.000,-1.906,-1.445,1035,1392,1796,1500,1800,33,10.3,0,60,23.42
1.085,ev0,0.82,-0.09,1.72,-0.07,0.19,5.40,88.6,-0.067,-0.453,0.1102,7.07,7,0.02,0,21,-1,0.000,0.000,-1.906,-1.445,1035,1359,1784,1500,1800,33,10.9,0,60,23.42
1.185,ev0,0.81,-0.07,1.91,-0.09,0.24,4.12,88.6,-0.042,-0.836,0.0492,6.74,7,0.02,0,23,-1,0.000,0.000,-1.906,-1.445,1035,1359,1784,1500,1800,33,11.0,0,60,23.68
1.286,ev0,0.80,-0.04,1.92,-0.13,0.30,2.32,87.7,-0.015,-1.056,0.0333,6.70,7,0.02,0,26,-1,0.000,0.000,-1.906,-1.445,1106,1438,1627,1483,1800,33,10.6,0,60,23.89
1.386,ev0,0.78,-0.00,1.82,-0.17,0.39,1.05,87.7,-0.001,-1.182,0.0158,6.68,7,0.02,0,28,-1,0.000,0.000,-1.906,-1.445,1219,1472,1560,1484,1800,33,11.0,0,60,23.89
1.487,ev0,0.76,0.05,1.69,-0.25,0.56,0.07,89.7,0.000,-1.011,0.0355,6.55,7,0.02,0,31,-1,0.000,0.000,-1.906,-1.445,1295,1464,1470,1491,1800,33,10.9,0,60,23.83
1.588,ev0,0.73,0.11,1.56,-0.37,0.73,-0.19,91.7,0.014,-0.678,0.0555,6.37,7,0.02,0,33,-1,0.000,0.000,-1.906,-1.445,1315,1475,1465,1499,1800,33,10.0,0,60,23.51
1.688,ev0,0.68,0.19,1.42,-0.48,0.79,-0.20,92.7,0.031,-0.487,0.1170,6.32,7,0.02,0,36,-1,0.000,0.000,-1.906,-1.445,1316,1487,1459,1504,1800,33,11.4,0,60,23.51
1.789,ev0,0.63,0.27,1.39,-0.56,0.79,0.20,92.7,0.038,-0.418,0.1274,6.39,7,0.02,0,38,-1,0.000,0.000,-1.906,-1.445,1287,1495,1452,1505,1800,33,10.7,0,60,23.30
1.889,ev0,0.57,0.35,1.42,-0.61,0.71,1.09,94.7,0.060,-0.432,0.1310,6.50,7,0.02,0,41,-1,0.000,0.000,-1.906,-1.445,1219,1542,1448,1514,1800,33,10.1,0,60,22.92
1.990,ev0,0.51,0.41,1.51,-0.60,0.56,1.87,94.7,0.090,-0.296,0.1348,6.50,7,0.02,0,43,-1,0.000,0.000,-1.906,-1.445,1159,1584,1447,1516,1800,33,12.5,0,60,22.92
2.090,ev0,0.45,0.46,1.57,-0.59,0.49,1.97,93.7,0.071,-0.190,0.1384,6.25,7,0.02,0,46,-1,0.000,0.000,-1.906,-1.445,1152,1597,1459,1514,1800,33,11.2,0,60,23.02
2.191,ev0,0.39,0.51,1.08,-0.55,0.45,-3.37,92.7,0.045,-0.129,0.1429,5.84,7,0.02,0,48,-1,0.000,0.000,-1.906,-1.445,1450,1526,1489,1512,1800,33,10.3,0,60,23.30
2.291,ev0,0.34,0.55,0.02,-0.46,0.42,-4.58,91.7,0.031,-0.118,0.1478,5.58,7,0.02,0,51,-1,0.000,0.000,-1.906,-1.445,1450,1524,1488,1510,1800,33,11.0,0,60,23.30
2.392,ev0/lm0,0.22,0.81,-0.45,-0.36,0.37,-4.43,91.7,0.036,-0.151,0.1535,5.63,9,0.17,0,51,-1,0.000,0.000,-1.721,0.705,1250,1500,1500,1500,1800,33,11.9,0,60,22.87
