t,phase_or_event,x,y,z,vx,vy,vz,yaw_deg,det_x,det_y,det_area,det_range,fixes,fix_res,rej,unm,cross_ev,cross_lat,cross_dz,fix_cx_sum,fix_al_sum,throttle,roll,pitch,yaw,arm,att_hz,rtt_ms,timeouts,cam_fps,vbat,el_deg,vert_live,commit_why,alt_gated,alt_rejected,cam_rej
0.080,ev0/lm0,0.55,-0.08,-0.28,0.03,0.00,0.00,89.0,-0.024,-0.201,0.0896,7.60,3,0.22,0,0,-1,0.000,0.000,-1.278,-0.742,1250,1500,1500,1500,1800,33,9.1,0,60,24.31,14.77,1,-,0,0,4
0.182,ev0/lm0,0.56,-0.12,-0.27,0.00,0.00,0.00,89.0,-0.023,-0.217,0.0894,7.62,5,0.06,0,0,-1,0.000,0.000,-1.292,-1.227,1250,1500,1500,1500,1800,33,9.8,0,59,24.23,14.34,1,-,0,0,4
0.283,ev0/lm0,0.50,-0.18,-0.37,-0.00,-0.00,0.00,89.0,-0.020,-0.247,0.0903,7.57,8,0.03,0,0,-1,0.000,0.000,-1.155,-1.746,1250,1500,1500,1500,1800,33,11.7,0,59,23.80,14.58,1,-,0,0,4
0.384,ev0/lm0,0.48,-0.20,-0.47,0.00,0.00,0.00,89.0,-0.015,-0.236,0.0909,7.52,10,0.02,0,0,-1,0.000,0.000,-1.106,-1.923,1250,1500,1500,1500,1800,33,9.8,0,59,23.80,14.11,1,-,0,1,4
0.484,ev0/lm0,0.45,-0.21,-0.52,0.00,-0.00,0.00,89.0,-0.014,-0.207,0.0918,7.57,13,0.01,0,0,-1,0.000,0.000,-1.048,-2.074,1250,1500,1500,1500,1800,33,10.5,0,59,23.68,13.30,1,-,0,6,4
0.585,ev0/lm0,0.45,-0.22,-0.49,0.00,0.00,0.00,89.0,-0.012,-0.178,0.0930,7.45,15,0.00,0,0,-1,0.000,0.000,-1.043,-2.138,1250,1500,1500,1500,1800,33,11.3,0,59,23.58,12.48,1,-,0,8,4
0.685,ev0/lm0,0.45,-0.21,-0.44,0.00,-0.00,0.00,89.0,-0.014,-0.136,0.0936,7.47,18,0.01,0,0,-1,0.000,0.000,-1.049,-2.026,1250,1500,1500,1500,1800,33,8.9,0,59,23.58,11.56,1,-,0,9,4
0.786,ev0/lm0,0.45,-0.18,-0.08,0.00,0.03,0.16,89.0,-0.015,-0.094,0.0951,7.42,20,0.02,0,0,-1,0.000,0.000,-1.050,-1.832,1250,1500,1500,1500,1800,33,10.0,0,59,23.48,10.43,1,-,0,11,4
0.886,ev0/lm0,0.47,-0.14,0.31,0.01,0.06,2.01,89.0,-0.015,-0.050,0.0964,7.30,23,0.03,0,0,-1,0.000,0.000,-1.086,-1.442,1125,1362,1563,1497,1800,33,11.2,0,59,23.43,9.34,1,-,0,11,4
0.986,ev0/lm0,0.45,-0.12,0.66,-0.00,0.10,2.18,89.0,-0.013,-0.018,0.0976,7.35,25,0.02,0,0,-1,0.000,0.000,-1.050,-1.278,1111,1359,1549,1497,1800,33,9.3,0,59,23.43,6.71,1,-,0,11,4
1.087,ev0/lm0,0.49,0.04,0.92,-0.07,0.17,2.03,89.0,0.004,-0.107,0.0987,6.73,28,0.11,0,0,-1,0.000,0.000,-1.129,0.079,1127,1385,1482,1497,1800,33,9.4,0,59,23.55,7.27,1,-,0,11,4
1.187,ev0/lm0,0.49,0.20,1.02,-0.13,0.22,1.17,89.0,0.017,-0.121,0.0999,6.39,30,0.12,0,0,-1,0.000,0.000,-1.161,1.498,1203,1441,1453,1496,1800,33,12.4,0,60,23.72,7.73,1,-,0,11,4
1.288,ev0/lm0,0.42,0.44,1.05,-0.22,0.26,0.45,90.0,0.024,-0.031,0.1024,6.37,33,0.12,0,0,-1,0.000,0.000,-1.041,3.578,1260,1476,1431,1502,1800,33,7.0,0,60,23.72,8.81,1,-,0,11,4
1.388,ev0/lm0,0.39,0.55,1.08,-0.30,0.27,0.06,90.0,0.028,0.101,0.1043,6.48,35,0.07,0,0,-1,0.000,0.000,-1.042,4.378,1292,1490,1427,1503,1800,33,10.7,0,60,23.63,8.31,1,-,0,11,4
1.489,ev0/lm0,0.37,0.62,1.19,-0.37,0.21,0.27,91.0,0.038,0.190,0.1064,6.62,38,0.02,0,0,-1,0.000,0.000,-1.064,4.865,1277,1500,1420,1507,1800,33,11.7,0,60,23.46,8.52,1,-,0,11,4
1.589,ev0/lm0,0.30,0.64,1.27,-0.45,0.12,0.53,90.0,0.043,0.246,0.1087,6.73,40,0.02,0,0,-1,0.000,0.000,-1.005,4.869,1256,1521,1422,1506,1800,33,10.0,0,60,23.34,8.43,1,-,0,11,4
1.690,ev0/lm0,0.12,0.60,1.31,-0.53,0.00,0.74,90.0,0.049,0.293,0.1103,6.86,43,0.06,0,0,-1,0.000,0.000,-0.716,4.421,1240,1559,1437,1511,1800,33,11.0,0,60,23.34,8.04,1,-,0,11,4
1.790,ev0/lm0,0.06,0.57,1.29,-0.50,-0.09,0.75,90.0,0.064,0.314,0.1110,6.84,45,0.03,0,0,-1,0.000,0.000,-0.719,4.130,1239,1563,1454,1513,1800,33,12.4,0,60,23.32,7.50,1,-,0,11,4
1.890,ev0/lm0,-0.05,0.55,1.26,-0.44,-0.17,0.68,90.0,0.080,0.314,0.1107,6.75,48,0.04,0,0,-1,0.000,0.000,-0.578,4.056,1244,1568,1469,1516,1800,33,9.6,0,60,23.32,6.55,1,-,0,11,4
1.991,ev0/lm0,-0.10,0.55,1.21,-0.34,-0.23,0.56,90.0,0.087,0.268,0.1100,6.69,50,0.02,0,0,-1,0.000,0.000,-0.552,4.226,1252,1558,1478,1517,1800,33,10.7,0,60,23.32,6.45,1,-,0,11,4
2.091,ev0/lm0,-0.24,0.57,1.19,-0.25,-0.25,0.50,89.0,0.089,0.226,0.1090,6.67,53,0.09,0,0,-1,0.000,0.000,-0.298,4.520,1258,1563,1480,1518,1800,33,12.1,0,60,23.29,6.00,1,-,0,11,4
2.191,ev0/lm0,-0.24,0.57,1.19,-0.14,-0.28,0.52,89.0,0.087,0.197,0.1088,6.62,55,0.03,0,0,-1,0.000,0.000,-0.319,4.874,1256,1550,1482,1518,1800,33,10.8,0,60,23.24,6.01,1,-,0,11,4
2.292,ev0/lm0,-0.21,0.58,1.21,-0.01,-0.29,0.57,89.0,0.082,0.185,0.1087,6.65,58,0.03,0,0,-1,0.000,0.000,-0.389,5.234,1251,1531,1482,1517,1800,33,10.5,0,60,23.24,5.83,1,-,0,11,4
2.393,ev0/lm0,-0.23,0.58,1.26,0.12,-0.24,0.66,88.0,0.075,0.186,0.1087,6.63,60,0.07,0,0,-1,0.000,0.000,-0.334,5.498,1240,1518,1474,1514,1800,33,11.3,0,60,23.22,5.49,1,-,0,11,4
2.493,ev0/lm0,-0.19,0.58,1.31,0.21,-0.23,0.73,88.0,0.063,0.197,0.1091,6.65,63,0.03,0,0,-1,0.000,0.000,-0.363,5.764,1233,1500,1471,1513,1800,33,10.1,0,60,23.22,5.32,1,-,0,11,4
2.594,ev0/lm0,-0.12,0.58,1.33,0.28,-0.24,0.74,88.0,0.052,0.244,0.1101,6.67,65,0.04,0,0,-1,0.000,0.000,-0.465,5.949,1228,1480,1472,1511,1800,33,11.0,0,60,23.22,4.56,1,-,0,11,4
2.694,ev0/lm0,-0.07,0.55,1.34,0.29,-0.26,0.65,87.0,0.038,0.275,0.1105,6.79,68,0.06,0,0,-1,0.000,0.000,-0.514,5.990,1229,1471,1477,1506,1800,33,11.7,0,60,23.24,4.11,1,-,0,11,4
2.795,ev0/lm0,-0.07,0.52,1.37,0.24,-0.27,0.52,87.0,0.028,0.292,0.1109,6.86,70,0.01,0,0,-1,0.000,0.000,-0.449,5.887,1233,1478,1485,1506,1800,33,10.1,0,60,23.25,3.75,1,-,0,11,4
