t,phase_or_event,x,y,z,vx,vy,vz,yaw_deg,det_x,det_y,det_area,det_range,fixes,fix_res,rej,unm,cross_ev,cross_lat,cross_dz,fix_cx_sum,fix_al_sum,throttle,roll,pitch,yaw,arm,att_hz,rtt_ms,timeouts,cam_fps,vbat,el_deg,vert_live,commit_why,alt_gated,alt_rejected,cam_rej
0.080,ev0/lm0,0.97,-0.05,-0.18,0.05,0.00,0.00,90.0,-0.057,-0.263,0.0901,7.60,3,0.36,0,0,-1,0.000,0.000,-2.258,-0.963,1250,1500,1500,1500,1800,33,9.9,0,57,24.32,17.98,1,-,0,0,3
0.181,ev0/lm0,0.89,-0.10,-0.17,0.00,0.00,0.00,90.0,-0.056,-0.265,0.0901,7.57,5,0.08,0,0,-1,0.000,0.000,-2.070,-1.449,1250,1500,1500,1500,1800,33,11.3,0,57,24.32,17.54,1,-,0,0,3
0.281,ev0/lm0,0.86,-0.15,-0.17,-0.00,-0.00,0.00,90.0,-0.051,-0.294,0.0903,7.57,8,0.03,0,0,-1,0.000,0.000,-1.978,-1.960,1250,1500,1500,1500,1800,33,10.9,0,57,23.82,17.73,1,-,0,3,3
0.382,ev0/lm0,0.85,-0.17,-0.57,0.00,0.00,0.00,90.0,-0.049,-0.285,0.0910,7.54,10,0.02,0,0,-1,0.000,0.000,-1.969,-2.141,1250,1500,1500,1500,1800,33,10.0,0,57,23.82,17.29,1,-,0,4,3
0.482,ev0/lm0,0.84,-0.19,-0.78,-0.00,-0.00,0.00,90.0,-0.047,-0.258,0.0917,7.52,13,0.01,0,0,-1,0.000,0.000,-1.934,-2.279,1250,1500,1500,1500,1800,33,11.1,0,57,23.68,16.65,1,-,0,9,3
0.584,ev0/lm0,0.83,-0.19,-0.91,0.00,0.00,0.00,90.0,-0.045,-0.221,0.0927,7.52,15,0.01,0,0,-1,0.000,0.000,-1.922,-2.345,1250,1500,1500,1500,1800,33,11.2,0,57,23.58,15.63,1,-,0,11,3
0.684,ev0/lm0,0.84,-0.19,-0.99,0.00,0.00,0.00,90.0,-0.047,-0.192,0.0937,7.45,18,0.01,0,0,-1,0.000,0.000,-1.937,-2.301,1250,1500,1500,1500,1800,33,9.2,0,57,23.58,14.92,1,-,0,12,3
0.785,ev0/lm0,0.86,-0.17,-0.86,0.00,0.00,0.00,90.0,-0.051,-0.154,0.0947,7.40,20,0.03,0,0,-1,0.000,0.000,-1.973,-2.159,1250,1500,1500,1500,1800,33,9.5,0,57,23.49,14.00,1,-,0,16,3
0.886,ev0/lm0,0.87,-0.14,0.03,0.01,0.04,8.61,90.0,-0.051,-0.106,0.0963,7.35,23,0.02,0,0,-1,0.000,0.000,-1.998,-1.891,1056,1131,1587,1500,1800,33,12.6,0,57,23.44,12.81,1,-,0,17,3
0.986,ev0/lm0,0.86,-0.11,0.83,-0.02,0.09,5.02,90.0,-0.050,-0.067,0.0977,7.32,25,0.02,0,0,-1,0.000,0.000,-1.994,-1.593,1056,1128,1559,1500,1800,33,8.6,0,57,23.44,9.92,1,-,0,17,3
1.088,ev0/lm0,0.88,0.13,1.22,-0.21,0.18,4.38,89.0,-0.012,-0.172,0.0984,6.18,28,0.22,0,0,-1,0.000,0.000,-2.089,0.561,1056,1130,1420,1500,1800,33,11.1,0,56,23.37,9.51,1,-,0,17,6
1.188,ev0/lm0,1.01,0.44,1.42,-0.27,0.23,3.27,89.0,0.022,-0.232,0.0999,5.64,30,0.27,0,0,-1,0.000,0.000,-2.463,3.238,1056,1160,1308,1500,1800,33,12.7,0,56,23.60,10.96,1,-,0,17,6
1.290,ev0/lm0,0.97,0.74,1.47,-0.41,0.25,2.13,94.0,0.041,-0.001,0.1049,5.50,32,0.24,0,1,-1,0.000,0.000,-2.494,5.917,1154,1322,1299,1499,1800,33,10.3,0,56,23.73,13.96,1,-,0,17,6
1.391,ev0/lm0,0.82,0.99,1.42,-0.56,0.24,1.03,98.0,0.057,0.464,0.1064,5.26,34,0.22,0,1,-1,0.000,0.000,-2.323,8.212,1231,1437,1347,1517,1800,33,10.8,0,56,23.73,11.08,1,-,0,17,6
1.491,ev0/lm0,0.60,1.32,1.28,-0.65,0.24,-0.18,100.0,0.081,0.592,0.0978,5.23,37,0.15,0,1,-1,0.000,0.000,-2.016,11.241,1325,1481,1362,1531,1800,33,10.7,0,56,23.63,11.48,1,-,0,17,6
1.592,ev0/lm0,0.50,1.45,1.15,-0.89,0.04,-0.49,99.0,0.154,0.533,0.1043,5.57,39,0.09,0,1,-1,0.000,0.000,-1.974,12.415,1346,1518,1374,1531,1800,33,9.8,0,56,23.29,13.44,1,-,0,17,6
1.692,ev0/lm0,0.21,1.43,1.11,-1.12,-0.23,-0.34,99.0,0.184,0.439,0.1096,6.05,42,0.09,0,1,-1,0.000,0.000,-1.596,12.297,1335,1572,1389,1541,1800,33,11.3,0,56,23.29,14.89,1,-,0,17,6
1.793,ev0/lm0,0.04,1.28,1.08,-1.26,-0.60,0.29,97.0,0.203,0.328,0.1076,6.62,44,0.11,0,1,-1,0.000,0.000,-1.511,11.227,1292,1632,1425,1539,1800,33,11.6,0,56,23.08,15.87,1,-,0,17,6
1.893,ev0/lm0,-0.17,1.03,1.14,-0.80,-0.59,1.87,98.0,0.232,0.165,0.1025,6.73,47,0.13,0,1,-1,0.000,0.000,-1.314,9.319,1172,1707,1412,1549,1800,33,10.4,0,56,22.84,16.50,1,-,0,18,6
1.993,ev0,-0.20,0.98,1.24,-0.05,-0.47,1.73,97.0,0.249,0.099,0.1014,6.58,47,0.13,0,3,-1,0.000,0.000,-1.314,9.319,1162,1548,1413,1546,1800,33,10.6,0,56,22.84,15.94,1,-,0,23,6
2.094,ev0/lm0,-0.44,0.97,0.22,0.16,-0.56,-3.37,95.0,0.228,0.076,0.0992,6.35,49,0.20,0,4,-1,0.000,0.000,-0.781,9.331,1450,1517,1481,1546,1800,33,10.1,0,60,23.08,14.85,1,-,0,27,6
2.194,ev0/lm0,-0.46,0.93,-1.01,0.27,-0.60,-7.01,94.0,0.197,0.097,0.0970,6.48,51,0.06,0,4,-1,0.000,0.000,-0.668,9.487,1450,1513,1487,1544,1800,33,10.3,0,60,22.89,13.91,1,-,0,30,6
2.296,ev0/lm0,-0.39,0.79,-2.08,0.36,-0.62,-7.63,93.0,0.169,0.008,0.0941,6.75,54,0.06,0,4,-1,0.000,0.000,-0.787,8.799,1449,1502,1498,1537,1800,33,11.0,0,60,22.89,13.91,1,-,0,35,6
