t,phase_or_event,x,y,z,vx,vy,vz,yaw_deg,det_x,det_y,det_area,det_range,fixes,fix_res,rej,unm,cross_ev,cross_lat,cross_dz,fix_cx_sum,fix_al_sum,throttle,roll,pitch,yaw,arm,att_hz,rtt_ms,timeouts,cam_fps,vbat
0.080,ev0/lm0,0.41,-0.13,-0.55,0.03,-0.00,0.00,89.1,-0.015,0.157,0.0894,7.78,3,0.19,0,0,-1,0.000,0.000,-0.958,-1.229,1250,1500,1500,1500,1800,33,9.7,0,60,24.32
0.181,ev0/lm0,0.46,-0.19,-0.54,0.00,0.00,0.00,89.1,-0.018,0.154,0.0895,7.71,5,0.04,0,0,-1,0.000,0.000,-1.094,-1.837,1250,1500,1500,1500,1800,33,12.1,0,60,23.99
0.281,ev0/lm0,0.44,-0.27,-0.53,-0.00,0.00,0.00,89.1,-0.014,0.182,0.0901,7.73,8,0.04,0,0,-1,0.000,0.000,-1.049,-2.588,1250,1500,1500,1500,1800,33,11.8,0,60,23.72
0.382,ev0/lm0,0.44,-0.29,-0.52,0.00,0.00,0.00,89.1,-0.013,0.207,0.0908,7.71,10,0.01,0,0,-1,0.000,0.000,-1.038,-2.813,1250,1500,1500,1500,1800,33,9.5,0,60,23.72
0.482,ev0/lm0,0.43,-0.31,-0.52,-0.00,0.00,0.00,89.1,-0.012,0.224,0.0918,7.63,13,0.01,0,0,-1,0.000,0.000,-1.021,-3.045,1250,1500,1500,1500,1800,33,11.7,0,60,23.60
0.583,ev0/lm0,0.42,-0.31,-0.57,0.00,0.00,0.00,90.1,-0.012,0.256,0.0933,7.51,15,0.01,0,0,-1,0.000,0.000,-0.997,-2.996,1250,1500,1500,1500,1800,33,11.7,0,60,23.50
0.683,ev0,0.47,-0.30,-0.61,0.00,0.00,0.00,90.1,-0.006,0.297,0.0946,7.53,17,0.09,0,1,-1,0.000,0.000,-1.106,-2.935,1250,1500,1500,1500,1800,33,10.2,0,60,23.50
0.783,ev0,0.47,-0.30,-0.47,0.00,0.00,0.00,90.1,0.000,0.339,0.0964,7.48,17,0.09,0,3,-1,0.000,0.000,-1.106,-2.935,1250,1500,1500,1500,1800,33,12.0,0,60,23.41
0.884,ev0,0.48,-0.28,-0.15,0.00,0.00,0.00,90.1,0.003,0.383,0.0979,7.41,18,0.04,0,5,-1,0.000,0.000,-1.145,-2.753,1250,1500,1500,1500,1800,33,11.4,0,60,23.36
0.984,ev0/lm0,0.50,-0.25,0.27,-0.00,0.01,0.34,90.1,0.000,0.425,0.0996,7.39,20,0.03,0,5,-1,0.000,0.000,-1.170,-2.402,1222,1426,1558,1500,1800,33,10.1,0,60,23.36
1.085,ev0/lm0,0.50,-0.20,0.65,-0.03,0.04,1.50,90.1,0.001,0.410,0.1001,7.41,23,0.02,0,5,-1,0.000,0.000,-1.181,-1.986,1116,1355,1593,1500,1800,33,11.6,0,60,23.31
1.185,ev0/lm0,0.50,-0.16,0.89,-0.09,0.12,1.53,89.1,0.006,0.322,0.1000,7.18,25,0.04,0,5,-1,0.000,0.000,-1.192,-1.616,1097,1358,1561,1497,1800,33,10.4,0,60,23.46
1.286,ev0/lm0,0.38,0.02,1.02,-0.19,0.20,1.02,89.2,0.017,0.239,0.0984,6.80,28,0.13,0,5,-1,0.000,0.000,-0.965,-0.105,1142,1454,1481,1500,1800,33,11.2,0,60,23.46
1.386,ev0/lm0,0.32,0.18,1.03,-0.25,0.26,0.19,90.2,0.026,0.287,0.1006,6.57,30,0.12,0,5,-1,0.000,0.000,-0.886,1.220,1205,1490,1453,1505,1800,33,12.3,0,60,23.67
1.487,ev0/lm0,0.40,0.34,0.98,-0.31,0.30,-0.44,90.2,0.021,0.439,0.1049,6.76,33,0.06,0,5,-1,0.000,0.000,-1.108,2.582,1258,1489,1438,1503,1800,33,12.0,0,60,23.65
1.587,ev0/lm0,0.37,0.38,0.94,-0.37,0.30,-0.73,90.2,0.020,0.522,0.1076,6.96,35,0.01,0,5,-1,0.000,0.000,-1.127,2.668,1285,1500,1439,1504,1800,33,9.6,0,60,23.65
1.687,ev0/lm0,0.39,0.37,1.02,-0.40,0.26,-0.62,91.2,0.028,0.603,0.1101,7.05,38,0.09,0,5,-1,0.000,0.000,-1.248,2.257,1279,1502,1444,1507,1800,33,11.2,0,60,23.48
1.788,ev0/lm0,0.42,0.37,1.07,-0.41,0.17,-0.28,91.2,0.040,0.618,0.1120,6.96,40,0.04,0,5,-1,0.000,0.000,-1.403,2.107,1258,1500,1450,1506,1800,33,11.3,0,60,23.32
1.888,ev0/lm0,0.29,0.38,1.09,-0.44,0.07,-0.05,90.2,0.049,0.619,0.1125,6.94,43,0.05,0,5,-1,0.000,0.000,-1.223,2.057,1242,1522,1458,1506,1800,33,10.0,0,60,23.32
1.989,ev0/lm0,0.21,0.38,1.05,-0.45,-0.01,0.02,90.2,0.051,0.592,0.1112,6.88,45,0.02,0,5,-1,0.000,0.000,-1.133,2.050,1238,1535,1468,1509,1800,33,10.1,0,60,23.25
2.089,ev0/lm0,0.22,0.38,0.96,-0.41,-0.08,-0.09,90.2,0.058,0.558,0.1096,6.90,48,0.02,0,5,-1,0.000,0.000,-1.256,2.120,1250,1527,1479,1509,1800,33,11.7,0,60,23.25
2.190,ev0/lm0,0.20,0.37,0.87,-0.36,-0.12,-0.20,90.2,0.060,0.514,0.1082,6.96,50,0.02,0,5,-1,0.000,0.000,-1.307,2.082,1258,1521,1487,1509,1800,33,10.0,0,60,23.25
2.291,ev0/lm0,0.20,0.34,0.80,-0.30,-0.14,-0.25,90.2,0.060,0.464,0.1065,7.03,53,0.03,0,5,-1,0.000,0.000,-1.386,1.902,1266,1513,1494,1509,1800,33,10.9,0,60,23.22
