t,phase_or_event,x,y,z,vx,vy,vz,yaw_deg,det_x,det_y,det_area,det_range,fixes,fix_res,rej,unm,cross_ev,cross_lat,cross_dz,fix_cx_sum,fix_al_sum,throttle,roll,pitch,yaw,arm,att_hz,rtt_ms,timeouts,cam_fps,vbat,el_deg,vert_live,commit_why,alt_gated,alt_rejected,cam_rej
0.080,ev0/lm0,0.23,-0.10,-0.21,0.01,-0.00,0.00,90.0,0.035,-0.294,0.0899,7.62,3,0.10,0,0,-1,0.000,0.000,-0.552,-0.893,1250,1500,1500,1500,1800,33,10.0,0,55,24.18,16.92,1,-,0,0,3
0.182,ev0/lm0,0.21,-0.15,-0.23,0.00,0.00,0.00,90.0,0.037,-0.311,0.0898,7.65,5,0.04,0,0,-1,0.000,0.000,-0.514,-1.345,1250,1500,1500,1500,1800,33,10.2,0,55,24.18,16.52,1,-,0,0,3
0.283,ev0/lm0,0.16,-0.19,-0.23,-0.00,0.00,0.00,90.0,0.040,-0.338,0.0905,7.60,8,0.03,0,0,-1,0.000,0.000,-0.389,-1.812,1250,1500,1500,1500,1800,33,11.2,0,55,23.77,16.66,1,-,0,4,3
0.383,ev0/lm0,0.16,-0.22,-0.24,0.00,0.00,0.00,90.0,0.041,-0.321,0.0911,7.62,10,0.02,0,0,-1,0.000,0.000,-0.392,-2.051,1250,1500,1500,1500,1800,33,10.5,0,55,23.63,16.25,1,-,0,9,3
0.484,ev0/lm0,0.15,-0.24,-0.24,-0.00,0.00,0.00,90.0,0.042,-0.294,0.0919,7.57,13,0.01,0,0,-1,0.000,0.000,-0.368,-2.274,1250,1500,1500,1500,1800,33,10.9,0,55,23.63,15.52,1,-,0,14,3
0.584,ev0/lm0,0.15,-0.24,-1.86,0.00,0.00,0.00,90.0,0.040,-0.261,0.0937,7.49,15,0.01,0,0,-1,0.000,0.000,-0.374,-2.317,1250,1500,1500,1500,1800,33,11.7,0,55,23.53,14.51,1,-,0,18,3
0.686,ev0,0.17,-0.24,-2.71,0.00,0.00,0.00,90.0,0.040,-0.217,0.0943,7.45,17,0.01,0,1,-1,0.000,0.000,-0.419,-2.301,1250,1500,1500,1500,1800,33,10.0,0,55,23.44,13.42,1,-,0,23,3
0.787,ev0,0.17,-0.24,-3.16,0.00,0.00,0.00,90.0,0.035,-0.175,0.0956,7.42,17,0.01,0,3,-1,0.000,0.000,-0.419,-2.301,1250,1500,1500,1500,1800,33,10.9,0,55,23.44,12.40,1,-,0,28,3
0.888,ev0,0.17,-0.24,-2.41,0.00,0.00,0.00,90.0,0.034,-0.132,0.0976,7.40,17,0.01,0,6,-1,0.000,0.000,-0.419,-2.301,1250,1500,1500,1500,1800,33,10.9,0,55,23.39,11.34,1,-,0,31,3
0.988,ev0/lm0,0.19,-0.22,-0.67,0.00,0.00,0.00,90.0,0.033,-0.083,0.0991,7.32,18,0.04,0,7,-1,0.000,0.000,-0.465,-2.135,1250,1500,1500,1500,1800,33,10.8,0,55,23.35,10.25,1,-,0,31,3
1.088,ev0/lm0,0.22,-0.16,0.24,-0.00,0.00,0.00,90.0,0.035,-0.036,0.1012,7.32,21,0.02,0,7,-1,0.000,0.000,-0.531,-1.462,1250,1500,1500,1500,1800,33,11.0,0,55,23.35,9.08,1,-,0,31,3
1.189,ev0/lm0,0.21,-0.11,0.90,0.00,0.00,0.00,90.0,0.037,0.018,0.1027,7.16,23,0.05,0,7,-1,0.000,0.000,-0.511,-1.020,1250,1500,1500,1500,1800,33,11.7,0,55,23.32,7.64,1,-,0,31,3
1.290,ev0/lm0,0.23,-0.04,1.33,0.00,-0.00,0.00,90.0,0.034,0.075,0.1054,7.12,26,0.05,0,7,-1,0.000,0.000,-0.529,-0.305,1250,1500,1500,1500,1800,33,10.1,0,59,23.28,6.34,1,-,0,31,3
1.391,ev0/lm0,0.23,0.01,1.62,0.00,0.00,0.00,90.0,0.035,0.135,0.1077,7.03,28,0.05,0,7,-1,0.000,0.000,-0.535,0.223,1250,1500,1500,1500,1800,33,10.6,0,59,23.28,4.87,1,-,0,31,3
1.491,ev0/lm0,0.25,0.11,1.87,0.00,-0.00,0.00,90.0,0.035,0.197,0.1103,6.92,31,0.06,0,7,-1,0.000,0.000,-0.567,1.158,1250,1500,1500,1500,1800,33,11.3,0,59,23.25,3.23,1,-,0,31,3
1.592,ev0/lm0,0.24,0.17,2.04,0.00,0.00,0.00,90.0,0.035,0.265,0.1129,6.86,33,0.06,0,7,-1,0.000,0.000,-0.540,1.795,1250,1500,1500,1500,1800,33,10.3,0,59,23.25,1.57,1,-,0,31,3
1.693,ev0/lm0,0.25,0.28,2.19,-0.00,0.00,0.00,90.0,0.035,0.349,0.1167,6.73,36,0.05,0,7,-1,0.000,0.000,-0.555,2.803,1250,1500,1500,1500,1800,33,11.9,0,59,23.25,-0.45,1,-,0,31,3
1.794,ev0/lm0,0.25,0.34,2.38,0.00,0.02,2.76,90.0,0.036,0.418,0.1197,6.67,38,0.05,0,7,-1,0.000,0.000,-0.559,3.423,1025,1289,1337,1500,1800,33,10.6,0,59,23.23,-2.12,1,-,0,31,3
1.895,ev0/lm0,0.24,0.45,2.56,0.00,0.04,2.66,90.0,0.038,0.468,0.1174,6.56,41,0.06,0,7,-1,0.000,0.000,-0.525,4.469,1034,1298,1258,1500,1800,33,10.8,0,59,23.22,-3.31,1,-,0,31,3
1.996,ev0/lm0,0.25,0.53,2.71,0.00,0.05,2.59,89.0,0.037,0.506,0.1116,6.46,43,0.06,0,7,-1,0.000,0.000,-0.531,5.188,1041,1299,1218,1500,1800,33,12.6,0,59,23.22,-0.10,1,-,0,31,3
2.096,ev0/lm0,0.17,0.71,2.92,-0.14,-0.12,2.74,90.0,-0.007,0.992,0.0482,5.98,46,0.13,0,7,-1,0.000,0.000,-0.356,6.920,1036,1483,1187,1500,1800,33,11.0,0,59,23.32,-0.33,1,-,0,32,3
2.198,ev0/lm0,0.14,0.69,3.09,-0.24,-0.23,1.98,92.0,,,,,46,0.13,0,7,-1,0.000,0.000,-0.356,6.920,1047,1560,1322,1500,1800,33,10.2,0,59,23.49,,0,,0,32,5
2.298,ev0/lm0,0.12,0.66,3.13,-0.29,-0.27,0.96,93.0,,,,,46,0.13,0,7,-1,0.000,0.000,-0.356,6.920,1156,1541,1441,1522,1800,33,11.1,0,60,23.49,,0,,0,32,5
2.399,ev0/lm0,0.09,0.63,3.20,-0.31,-0.29,0.10,92.0,,,,,46,0.13,0,7,-1,0.000,0.000,-0.356,6.920,1222,1535,1469,1519,1800,33,12.3,0,60,23.66,,0,,0,32,5
2.499,ev0/lm0,0.05,0.60,3.22,-0.30,-0.43,-0.26,92.0,,,,,46,0.13,0,7,-1,0.000,0.000,-0.356,6.920,1250,1534,1496,1520,1800,33,10.5,0,60,23.44,,0,,0,32,5
2.599,ev0/lm0,0.03,0.65,3.22,-0.27,-0.56,-0.42,92.0,0.143,1.189,0.0249,5.71,47,0.18,0,8,-1,0.000,0.000,-0.344,7.947,1261,1532,1506,1521,1800,33,11.0,0,60,23.44,-8.62,1,-,0,32,8
2.700,ev0/lm0,0.03,0.79,3.34,-0.20,-0.65,-0.15,92.0,0.134,0.919,0.0602,5.68,49,0.17,0,8,-1,0.000,0.000,-0.371,9.919,1233,1526,1501,1521,1800,33,11.1,0,60,23.32,-7.45,1,-,0,32,8
2.801,ev0/lm0,-0.04,0.97,3.45,-0.17,-0.70,0.18,91.0,0.123,0.725,0.0731,5.74,52,0.14,0,8,-1,0.000,0.000,-0.220,12.288,1201,1538,1479,1520,1800,33,10.3,0,60,23.28,-5.81,1,-,0,34,8
2.902,ev0/lm0,-0.01,1.02,3.29,-0.12,-0.71,0.03,91.0,0.105,0.610,0.0812,5.73,54,0.12,0,8,-1,0.000,0.000,-0.288,13.590,1207,1522,1472,1519,1800,33,10.7,0,60,23.28,-4.65,1,-,0,34,8
3.002,ev0/lm0,0.06,1.13,3.06,-0.05,-0.71,-0.32,90.0,0.092,0.583,0.0857,5.68,57,0.11,0,8,-1,0.000,0.000,-0.418,15.337,1228,1500,1460,1514,1800,33,12.4,0,60,23.35,-3.63,1,-,0,34,8
3.103,ev0/lm0,0.04,1.17,2.85,-0.02,-0.72,-0.68,90.0,0.078,0.564,0.1289,5.68,59,0.09,0,8,-1,0.000,0.000,-0.382,16.429,1255,1498,1461,1514,1800,33,10.7,0,60,23.35,-2.59,1,-,0,34,8
3.205,ev0/lm0,0.10,1.22,2.67,0.01,-0.74,-0.90,89.0,0.057,0.536,0.1353,5.71,62,0.08,0,8,-1,0.000,0.000,-0.484,17.746,1278,1489,1461,1509,1800,33,10.9,0,60,23.35,-1.26,1,-,0,34,8
3.305,ev0/lm0,0.10,1.24,2.56,0.01,-0.76,-0.86,89.0,0.041,0.515,0.1411,5.67,64,0.07,0,8,-1,0.000,0.000,-0.476,18.594,1282,1489,1463,1509,1800,33,12.0,0,57,23.25,-0.53,1,-,0,34,8
3.406,ev0/lm0,0.24,1.28,2.49,0.02,-0.84,-0.63,89.0,0.026,0.475,0.1478,5.65,67,0.10,0,8,-1,0.000,0.000,-0.738,19.881,1270,1471,1464,1505,1800,33,10.1,0,57,23.16,0.53,1,-,0,34,8
3.511,ev0/lm0,0.28,1.27,2.46,-0.00,-0.91,-0.35,89.0,0.020,0.461,0.1502,5.63,69,0.07,0,8,-1,0.000,0.000,-0.820,20.735,1255,1465,1471,1503,1800,33,10.0,0,57,23.16,0.87,1,-,0,34,8
3.619,ev0/lm0,0.31,1.30,2.34,-0.05,-0.94,-0.25,89.0,0.009,0.436,0.1556,5.54,72,0.09,0,8,-1,0.000,0.000,-0.861,22.037,1253,1468,1471,1503,1800,33,8.7,0,57,23.13,1.07,1,-,0,34,8
3.720,ev0/lm0,0.36,1.31,2.27,-0.09,-0.96,-0.18,89.0,-0.005,0.389,0.1632,5.46,74,0.10,0,8,-1,0.000,0.000,-0.976,23.071,1254,1467,1473,1501,1800,33,11.2,0,57,23.13,1.88,1,-,0,34,8
3.821,ev0/lm0,0.41,1.38,2.23,-0.14,-0.97,-0.09,89.0,-0.008,0.364,0.1687,5.41,77,0.09,0,8,-1,0.000,0.000,-1.098,24.681,1254,1467,1466,1499,1800,33,9.7,0,57,23.13,2.37,1,-,0,34,8
3.921,ev0/lm0,0.42,1.40,2.17,-0.20,-0.97,-0.07,89.0,-0.011,0.362,0.1704,5.35,79,0.10,0,8,-1,0.000,0.000,-1.153,25.885,1258,1474,1464,1499,1800,33,11.6,0,57,23.11,2.50,1,-,0,34,8
4.022,ev0/lm0,0.42,1.48,2.10,-0.26,-0.98,-0.03,89.0,-0.010,0.375,0.1704,5.31,82,0.09,0,8,-1,0.000,0.000,-1.194,27.594,1258,1483,1455,1499,1800,33,11.2,0,57,23.10,2.40,1,-,0,34,8
4.123,ev0/lm0,0.39,1.50,2.06,-0.33,-1.02,0.03,89.0,-0.010,0.403,0.1686,5.23,84,0.10,0,8,-1,0.000,0.000,-1.198,28.748,1252,1494,1458,1500,1800,33,10.3,0,57,23.10,2.14,1,-,0,34,8
4.223,ev0/lm0,0.38,1.55,2.06,-0.38,-1.09,0.14,89.0,-0.005,0.433,0.1654,5.26,87,0.09,0,8,-1,0.000,0.000,-1.248,30.378,1240,1502,1456,1500,1800,33,12.3,0,57,23.08,1.92,1,-,0,34,8
4.324,ev0/lm0,0.34,1.55,2.06,-0.40,-1.11,0.22,89.0,0.006,0.467,0.1618,5.28,89,0.08,0,8,-1,0.000,0.000,-1.244,31.380,1228,1511,1458,1502,1800,33,10.8,0,45,23.08,1.13,1,-,0,34,8
4.424,ev0/lm0,0.28,1.58,2.07,-0.41,-1.13,0.24,89.0,0.017,0.499,0.1590,5.27,92,0.08,0,8,-1,0.000,0.000,-1.201,32.856,1220,1523,1454,1504,1800,33,10.4,0,45,23.08,0.28,1,-,0,34,8
4.525,ev0/lm0,0.23,1.57,2.09,-0.41,-1.15,0.25,89.0,0.029,0.542,0.1555,5.23,94,0.09,0,8,-1,0.000,0.000,-1.160,33.878,1213,1531,1457,1506,1800,33,12.0,0,45,23.13,-0.66,1,-,0,34,8
4.625,ev0/lm0,0.19,1.62,2.14,-0.38,-1.19,0.20,89.0,0.038,0.568,0.1069,5.20,97,0.09,0,8,-1,0.000,0.000,-1.157,35.450,1212,1533,1455,1507,1800,33,11.4,0,45,23.18,-1.10,1,-,0,34,8
4.726,ev0/lm0,0.17,1.60,2.18,-0.34,-1.21,0.11,88.0,0.047,0.582,0.1055,5.17,99,0.09,0,8,-1,0.000,0.000,-1.177,36.525,1212,1530,1462,1504,1800,33,9.6,0,45,23.18,-1.46,1,-,0,34,8
4.827,ev0/lm0,0.05,1.67,2.19,-0.32,-1.24,-0.04,88.0,0.049,0.592,0.1053,5.12,102,0.10,0,8,-1,0.000,0.000,-0.968,38.296,1218,1546,1458,1509,1800,33,11.6,0,45,23.23,-1.81,1,-,0,34,8
4.927,ev0/lm0,0.07,1.67,2.22,-0.26,-1.25,-0.14,88.0,0.051,0.594,0.1062,5.07,104,0.11,0,8,-1,0.000,0.000,-1.050,39.524,1220,1533,1460,1508,1800,33,10.9,0,45,23.28,-1.99,1,-,0,34,8
5.028,ev0/lm0,0.11,1.73,2.24,-0.19,-1.26,-0.20,88.0,0.049,0.590,0.1072,4.99,107,0.11,0,8,-1,0.000,0.000,-1.146,41.439,1224,1516,1453,1507,1800,33,9.8,0,45,23.28,-2.01,1,-,0,34,8
5.129,ev0/lm0,0.11,1.73,2.28,-0.13,-1.27,-0.22,88.0,0.045,0.589,0.1087,4.96,109,0.10,0,8,-1,0.000,0.000,-1.158,42.653,1226,1506,1455,1507,1800,33,12.3,0,45,23.28,-1.95,1,-,0,34,8
5.229,ev0/lm0,0.16,1.78,2.29,-0.08,-1.30,-0.23,88.0,0.037,0.597,0.1094,5.00,112,0.10,0,8,-1,0.000,0.000,-1.263,44.496,1230,1491,1451,1505,1800,33,11.2,0,45,23.28,-1.70,1,-,0,34,8
5.330,ev0/lm0,0.18,1.76,2.29,-0.06,-1.33,-0.23,88.0,0.029,0.608,0.1099,5.00,114,0.09,0,8,-1,0.000,0.000,-1.304,45.610,1229,1485,1458,1504,1800,33,10.7,0,54,23.28,-1.72,1,-,0,34,8
5.430,ev0/lm0,0.14,1.80,2.28,-0.07,-1.36,-0.24,87.0,0.014,0.607,0.1121,4.99,117,0.11,0,8,-1,0.000,0.000,-1.207,47.290,1229,1494,1458,1502,1800,33,10.7,0,54,23.26,-1.76,1,-,0,34,8
5.531,ev0/lm0,0.16,1.78,2.29,-0.08,-1.38,-0.21,87.0,0.003,0.586,0.1144,4.96,119,0.11,0,8,-1,0.000,0.000,-1.256,48.471,1228,1491,1463,1501,1800,33,10.7,0,54,23.25,-1.47,1,-,0,34,8
5.632,ev0/lm0,0.21,1.82,2.29,-0.08,-1.41,-0.20,87.0,0.000,0.571,0.1167,4.93,122,0.11,0,8,-1,0.000,0.000,-1.343,50.248,1229,1485,1461,1500,1800,33,9.8,0,54,23.25,-1.42,1,-,0,34,8
