trial,t,phase,alt,vx_w,vy_w,vz_w,airspeed,vh,climb_up,roll,pitch,yaw,cmd_thrust,motor_max,drag_accel,drag_coeff
drag_fwd,0.0,accel,45.2549934387207,-0.8061923984835875,0.302071243524469,-0.5004937477892705,0.9958349316595037,0.8609257921198195,0.5004937477892705,0.0,-8.344649700120499e-07,-0.0,0.3445418204643312,0.2518782317638397,0.0,0.0
drag_fwd,0.004500865936279297,accel,45.261810302734375,-0.8057359026094648,0.3020052611828901,-0.48807572723953735,0.9892600457192426,0.8604751725273859,0.48807572723953735,0.0,1.0728834922701935e-06,-0.0,0.3445418204643312,0.2518782317638397,0.1001184213911608,0.0
drag_fwd,0.009000539779663086,accel,45.261810302734375,-0.8057359026094648,0.3020052611828901,-0.48807572723953735,0.9892600457192426,0.8604751725273859,0.48807572723953735,0.0,1.0728834922701935e-06,-0.0,0.3445418204643312,0.25209125876426697,-0.0,0.0
drag_fwd,0.01350092887878418,accel,45.261810302734375,-0.8057359026094648,0.3020052611828901,-0.48807572723953735,0.9892600457192426,0.8604751725273859,0.48807572723953735,0.0,1.0728834922701935e-06,-0.0,0.3445418204643312,0.25209125876426697,-0.0,0.0
drag_fwd,0.018001794815063477,accel,45.261810302734375,-0.8057359026094648,0.3020052611828901,-0.48807572723953735,0.9892600457192426,0.8604751725273859,0.48807572723953735,0.0,1.0728834922701935e-06,-0.0,0.3445418204643312,0.25209125876426697,-0.0,0.0
drag_fwd,0.02300095558166504,accel,45.261810302734375,-0.8057359026094648,0.3020052611828901,-0.48807572723953735,0.9892600457192426,0.8604751725273859,0.48807572723953735,0.0,1.0728834922701935e-06,-0.0,0.3445418204643312,0.25209125876426697,-0.0,0.0
drag_fwd,0.027502059936523438,accel,45.261810302734375,-0.8057359026094648,0.3020052611828901,-0.48807572723953735,0.9892600457192426,0.8604751725273859,0.48807572723953735,0.0,1.0728834922701935e-06,-0.0,0.3445418204643312,0.4933270812034607,-0.0,0.0
drag_fwd,0.032000064849853516,accel,45.27786636352539,-0.8011407109874777,0.30186146987197804,-0.604618599566343,1.0480984861816938,0.8561231136903106,0.604618599566343,0.0,0.04901551827788353,-0.0,0.3445418204643312,0.4933270812034607,0.967553153216393,0.0
drag_fwd,0.036499977111816406,accel,45.27786636352539,-0.8011407109874777,0.30186146987197804,-0.604618599566343,1.0480984861816938,0.8561231136903106,0.604618599566343,0.0,0.04901551827788353,-0.0,0.3445418204643312,0.4933270812034607,-0.0,0.0
drag_fwd,0.04100203514099121,accel,45.27786636352539,-0.8011407109874777,0.30186146987197804,-0.604618599566343,1.0480984861816938,0.8561231136903106,0.604618599566343,0.0,0.04901551827788353,-0.0,0.3445418204643312,0.4933270812034607,-0.0,0.0
drag_fwd,0.04550004005432129,accel,45.28237533569336,-0.7876005392975554,0.30179799390559486,-0.6833679273791567,1.085535979504008,0.8434433227118711,0.6833679273791567,0.0,0.04901551827788353,-0.0,0.3445418204643312,0.4933270812034607,2.818981131137114,0.0
drag_fwd,0.05000042915344238,accel,45.28237533569336,-0.7876005392975554,0.30179799390559486,-0.6833679273791567,1.085535979504008,0.8434433227118711,0.6833679273791567,0.0,0.0790405198931694,-0.0,0.3445418204643312,0.42307978868484497,-0.0,0.0
drag_fwd,0.05450010299682617,accel,45.28237533569336,-0.7876005392975554,0.30179799390559486,-0.6833679273791567,1.085535979504008,0.8434433227118711,0.6833679273791567,0.0,0.0790405198931694,-0.0,0.3445418204643312,0.42307978868484497,-0.0,0.0
drag_fwd,0.05900001525878906,accel,45.28237533569336,-0.7876005392975554,0.30179799390559486,-0.6833679273791567,1.085535979504008,0.8434433227118711,0.6833679273791567,0.0,0.0790405198931694,-0.0,0.3445418204643312,0.42307978868484497,-0.0,0.0
