trial,t,timestamp_ms,axis,commanded_rate,input_pct,seg,motor_1,motor_2,motor_3,motor_4,motor_max,measured_omega,alpha,cross_axis_drift,rollspeed,pitchspeed,yawspeed
rot_roll_2,0.0,48380.017,roll,2.0,6.666666666666667,step,0.3134039044380188,0.3134039044380188,0.3134039044380188,0.3134039044380188,0.3134039044380188,6.266824213982245e-38,0.0,1.8715023689609727e-37,6.266824213982245e-38,6.411457273159681e-38,1.758252903700435e-37
rot_roll_2,0.004513740539550781,48380.017,roll,2.0,6.666666666666667,step,0.3134039044380188,0.3134039044380188,0.3134039044380188,0.3134039044380188,0.3134039044380188,6.266824213982245e-38,0.0,1.8715023689609727e-37,6.266824213982245e-38,6.411457273159681e-38,1.758252903700435e-37
rot_roll_2,0.00903010368347168,48380.017,roll,2.0,6.666666666666667,step,0.42784005403518677,0.26950547099113464,0.42784005403518677,0.26950547099113464,0.42784005403518677,6.266824213982245e-38,0.0,1.8715023689609727e-37,6.266824213982245e-38,6.411457273159681e-38,1.758252903700435e-37
rot_roll_2,0.013538837432861328,48393.894,roll,2.0,6.666666666666667,step,0.42784005403518677,0.26950547099113464,0.42784005403518677,0.26950547099113464,0.42784005403518677,6.266824213982245e-38,0.0,1.8715023689609727e-37,6.266824213982245e-38,6.411457273159681e-38,1.758252903700435e-37
rot_roll_2,0.0180814266204834,48393.894,roll,2.0,6.666666666666667,step,0.42784005403518677,0.26950547099113464,0.42784005403518677,0.26950547099113464,0.42784005403518677,6.266824213982245e-38,0.0,1.8715023689609727e-37,6.266824213982245e-38,6.411457273159681e-38,1.758252903700435e-37
rot_roll_2,0.022583484649658203,48393.894,roll,2.0,6.666666666666667,step,0.5232021808624268,0.23292039334774017,0.5232021808624268,0.23292039334774017,0.5232021808624268,6.266824213982245e-38,0.0,1.8715023689609727e-37,6.266824213982245e-38,6.411457273159681e-38,1.758252903700435e-37
rot_roll_2,0.02709674835205078,48407.813,roll,2.0,6.666666666666667,step,0.5232021808624268,0.23292039334774017,0.5232021808624268,0.23292039334774017,0.5232021808624268,-2.188075542449951,-484.81003697834126,3.3831105439101204e-07,-2.188075542449951,2.8478925173658354e-07,-1.826183222419786e-07
rot_roll_2,0.031610965728759766,48407.813,roll,2.0,6.666666666666667,step,0.5827656984329224,0.18403147161006927,0.5827656984329224,0.18403147161006927,0.5827656984329224,-2.188075542449951,0.0,3.3831105439101204e-07,-2.188075542449951,2.8478925173658354e-07,-1.826183222419786e-07
rot_roll_2,0.03612875938415527,48407.813,roll,2.0,6.666666666666667,step,0.5827656984329224,0.18403147161006927,0.5827656984329224,0.18403147161006927,0.5827656984329224,-2.188075542449951,0.0,3.3831105439101204e-07,-2.188075542449951,2.8478925173658354e-07,-1.826183222419786e-07
rot_roll_2,0.04064226150512695,48421.8,roll,2.0,6.666666666666667,step,0.5429626107215881,0.19568613171577454,0.5429626107215881,0.19568613171577454,0.5429626107215881,-5.237318515777588,-675.582483756801,8.097721979156612e-07,-5.237318515777588,6.526002493956184e-07,-4.794204073732544e-07
rot_roll_2,0.04515504837036133,48421.8,roll,2.0,6.666666666666667,step,0.5429626107215881,0.19568613171577454,0.5429626107215881,0.19568613171577454,0.5429626107215881,-5.237318515777588,0.0,8.097721979156612e-07,-5.237318515777588,6.526002493956184e-07,-4.794204073732544e-07
rot_roll_2,0.04966878890991211,48421.8,roll,2.0,6.666666666666667,step,0.5429626107215881,0.19568613171577454,0.5429626107215881,0.19568613171577454,0.5429626107215881,-5.237318515777588,0.0,8.097721979156612e-07,-5.237318515777588,6.526002493956184e-07,-4.794204073732544e-07
rot_roll_2,0.0541841983795166,48435.609,roll,2.0,6.666666666666667,step,0.4562014639377594,0.23947064578533173,0.4562014639377594,0.23947064578533173,0.4562014639377594,-6.432059288024902,-264.5919003115265,9.94497798291049e-07,-6.432059288024902,7.473657888112939e-07,-6.56102315588214e-07
rot_roll_2,0.058699607849121094,48435.609,roll,2.0,6.666666666666667,step,0.4562014639377594,0.23947064578533173,0.4562014639377594,0.23947064578533173,0.4562014639377594,-6.432059288024902,0.0,9.94497798291049e-07,-6.432059288024902,7.473657888112939e-07,-6.56102315588214e-07
rot_roll_2,0.0632171630859375,48435.609,roll,2.0,6.666666666666667,step,0.4268864393234253,0.2525066137313843,0.4268864393234253,0.2525066137313843,0.4268864393234253,-6.432059288024902,0.0,9.94497798291049e-07,-6.432059288024902,7.473657888112939e-07,-6.56102315588214e-07
rot_roll_2,0.06772708892822266,48449.476,roll,2.0,6.666666666666667,step,0.4268864393234253,0.2525066137313843,0.4268864393234253,0.2525066137313843,0.4268864393234253,-6.262458324432373,37.606153520828926,9.68275024473138e-07,-6.262458324432373,6.685349944746122e-07,-7.004409212640894e-07
rot_roll_2,0.07225513458251953,48449.476,roll,2.0,6.666666666666667,step,0.4268864393234253,0.2525066137313843,0.4268864393234253,0.2525066137313843,0.4268864393234253,-6.262458324432373,0.0,9.68275024473138e-07,-6.262458324432373,6.685349944746122e-07,-7.004409212640894e-07
rot_roll_2,0.07679438591003418,48449.476,roll,2.0,6.666666666666667,step,0.402115136384964,0.25240713357925415,0.402115136384964,0.25240713357925415,0.402115136384964,-6.262458324432373,0.0,9.68275024473138e-07,-6.262458324432373,6.685349944746122e-07,-7.004409212640894e-07
rot_roll_2,0.08130407333374023,48463.375,roll,2.0,6.666666666666667,step,0.402115136384964,0.25240713357925415,0.402115136384964,0.25240713357925415,0.402115136384964,-5.795419216156006,103.56352101506741,8.960632722713098e-07,-5.795419216156006,5.634777835439309e-07,-6.967224521758908e-07
rot_roll_2,0.08581924438476562,48463.375,roll,2.0,6.666666666666667,step,0.4012824296951294,0.24381926655769348,0.4012824296951294,0.24381926655769348,0.4012824296951294,-5.795419216156006,0.0,8.960632722713098e-07,-5.795419216156006,5.634777835439309e-07,-6.967224521758908e-07
rot_roll_2,0.0903310775756836,48463.375,roll,2.0,6.666666666666667,step,0.4012824296951294,0.24381926655769348,0.4012824296951294,0.24381926655769348,0.4012824296951294,-5.795419216156006,0.0,8.960632722713098e-07,-5.795419216156006,5.634777835439309e-07,-6.967224521758908e-07
rot_roll_2,0.09484291076660156,48477.274,roll,2.0,6.666666666666667,step,0.4075150787830353,0.22319403290748596,0.4075150787830353,0.22319403290748596,0.4075150787830353,-5.553236484527588,53.67723525681674,8.586176978772444e-07,-5.553236484527588,4.864712082053302e-07,-7.075097983033629e-07
rot_roll_2,0.09935855865478516,48477.274,roll,2.0,6.666666666666667,step,0.4075150787830353,0.22319403290748596,0.4075150787830353,0.22319403290748596,0.4075150787830353,-5.553236484527588,0.0,8.586176978772444e-07,-5.553236484527588,4.864712082053302e-07,-7.075097983033629e-07
rot_roll_2,0.10387015342712402,48477.274,roll,2.0,6.666666666666667,step,0.4123988449573517,0.20831561088562012,0.4123988449573517,0.20831561088562012,0.4123988449573517,-5.553236484527588,0.0,8.586176978772444e-07,-5.553236484527588,4.864712082053302e-07,-7.075097983033629e-07
rot_roll_2,0.10838198661804199,48491.23,roll,2.0,6.666666666666667,step,0.4123988449573517,0.20831561088562012,0.4123988449573517,0.20831561088562012,0.4123988449573517,-5.555119514465332,-0.4173536250264215,8.589090971279495e-07,-5.555119514465332,4.3075141320514376e-07,-7.430868436131277e-07
rot_roll_2,0.11289381980895996,48491.23,roll,2.0,6.666666666666667,step,0.4123988449573517,0.20831561088562012,0.4123988449573517,0.20831561088562012,0.4123988449573517,-5.555119514465332,0.0,8.589090971279495e-07,-5.555119514465332,4.3075141320514376e-07,-7.430868436131277e-07
