t,phase,z,vz,z_target,a_cmd,thrust_cmd,throttle,roll,pitch,yaw_deg,armed,vbat,amps,gate_seen,gate_el_deg,gate_rng,gate_dz
0.080,climb,-0.100,0.000,0.050,0.00,0.00,1350,1500,1500,90.0,1,24.49,1.7,0,,,
0.181,climb,-0.100,0.000,0.100,0.00,0.00,1350,1500,1500,90.0,1,23.91,26.8,0,,,
0.281,climb,-3.860,1.307,0.150,32.86,42.68,1837,1500,1500,90.0,1,23.50,34.0,0,,,
0.382,climb,-0.490,2.070,0.200,-0.07,9.74,1290,1500,1500,90.0,1,23.50,34.0,0,,,
0.482,climb,-0.490,2.935,0.250,-3.08,6.73,1228,1500,1500,90.0,1,22.76,55.0,0,,,
0.582,hold,1.000,3.886,0.400,-20.94,0.00,1000,1500,1500,90.0,1,22.81,36.1,0,,,
